Institution,Control,State,Category,Plan,Lat,Long,March_Death,April_Death,May_Death,June_Death,March_Hospitalized,April_Hospitalized,May_Hospitalized,June_Hospitalized,March_InICU,April_InICU,May_InICU,June_InICU,March_onVentilatorCumulative,April_onVentilatorCumulative,May_onVentilatorCumulative,June_onVentilatorCumulative,March_Positive,April_Positive,May_Positive,June_Positive,March_Recovered,April_Recovered,May_Recovered,June_Recovered,constitution_party_numbers,democrat_numbers,green_numbers,libertarian_numbers,republican_numbers
Savannah College of Art and Design,Private,GA,"<a href=""https://www.scad.edu/coronavirus"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,32.0691097,-81.09381409999997,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Abraham Baldwin Agricultural College,Public,GA,Planning for in-person,Planning for in-person,31.48307599999999,-83.53019429999998,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Albany State University,Public,GA,Planning for in-person,Planning for in-person,31.5690557,-84.1403888,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Atlanta Metropolitan State College,Public,GA,Planning for in-person,Planning for in-person,33.7096749,-84.40456809999998,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Augusta University,Public,GA,Planning for in-person,Planning for in-person,33.4709094,-81.9898848,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Clayton State University,Public,GA,Planning for in-person,Planning for in-person,33.594393100000005,-84.33042009999998,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — College of Coastal Georgia,Public,GA,Planning for in-person,Planning for in-person,31.1832649,-81.48678120000002,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Columbus State University,Public,GA,Planning for in-person,Planning for in-person,32.5026472,-84.9404306,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Dalton State College,Public,GA,Planning for in-person,Planning for in-person,34.7734119,-85.003057,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — East Georgia State College,Public,GA,Planning for in-person,Planning for in-person,32.595367,-82.307009,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Fort Valley State University,Public,GA,Planning for in-person,Planning for in-person,32.536427,-83.8981244,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Georgia Gwinnett College,Public,GA,Planning for in-person,Planning for in-person,33.9799796,-84.00444089999998,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Georgia Highlands College,Public,GA,Planning for in-person,Planning for in-person,34.169756799999995,-85.2074433,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Georgia Institute of Technology,Public,GA,Planning for in-person,Planning for in-person,33.7756178,-84.39628499999998,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Georgia Southern University,Public,GA,Planning for in-person,Planning for in-person,32.42054890000001,-81.78653469999998,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Georgia Southwestern State University,Public,GA,Planning for in-person,Planning for in-person,32.05603789999999,-84.21750809999998,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Georgia State University,Public,GA,Planning for in-person,Planning for in-person,33.753068,-84.38528190000002,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Gordon State College,Public,GA,Planning for in-person,Planning for in-person,33.0473845,-84.15165580000001,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Kennesaw State University,Public,GA,Planning for in-person,Planning for in-person,34.0381785,-84.58267120000002,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Middle Georgia State University,Public,GA,Planning for in-person,Planning for in-person,32.8082159,-83.73188520000002,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Savannah State University,Public,GA,Planning for in-person,Planning for in-person,32.023505699999994,-81.0626995,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — South Georgia State College,Public,GA,Planning for in-person,Planning for in-person,31.4977147,-82.85450829999998,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — University of Georgia,Public,GA,Planning for in-person,Planning for in-person,33.9480053,-83.37732209999999,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — University of North Georgia,Public,GA,Planning for in-person,Planning for in-person,34.5278618,-83.9844416,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — University of West Georgia,Public,GA,Planning for in-person,Planning for in-person,33.5718249,-85.1032441,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
University System of Georgia — Valdosta State University,Public,GA,Planning for in-person,Planning for in-person,30.8489491,-83.2892064,622,17746,49289,2074,4256,89847,206062,8127,0,4463,47440,1800,0,0,0,0,20912,462253,1153301,47618,0,0,0,0,0,5,0,5,5
Allan Hancock College,Public,CA,"<a href=""https://www.hancockcollege.edu/news/newsreleases/05-11-2020%20Fall%20Classes.php"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,34.9446133,-120.4189337,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Azusa Pacific University,Private,CA,"<a href=""https://officeofthepresident.cmail19.com/t/ViewEmail/y/4A3EB309EB5A155A/76DDA4F8ED8586FD419C69E1CEBE89F9"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,34.130075500000004,-117.8883593,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Bakersfield College,Public,CA,"<a href=""https://www.bakersfieldcollege.edu/covid19"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,35.4079139,-118.9718054,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Berkeley City College,Public,CA,"<a href=""https://alameda.peralta.edu/announcement/coronavirus-update-for-peralta-students-and-employees/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,37.8698172,-122.2698332,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Biola University,Private,CA,"<a href=""https://www.biola.edu/coronavirus#april_30_2020_message_from_president_corey"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,33.9054476,-118.0151797,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Butte College,Public,CA,"<a href=""http://www.butte.edu/feeds/2020/fall-2020-instruction-updates.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">Proposing a hybrid model</a>",Proposing a hybrid model,39.647498,-121.6450627,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California Baptist University,Private,CA,"<a href=""https://calbaptist.edu/news/cbu_update_coronavirus_1"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,33.928406700000004,-117.4255596,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California Institute of the Arts,Private,CA,"<a href=""https://calarts.edu/about/news-and-events/newsroom/institute-news/calarts-approach-to-academic-year-2020-21"" target=""_blank"" rel=""nofollow noopener noreferrer"">Proposing a hybrid model</a>",Proposing a hybrid model,34.39268980000001,-118.5672229,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California Lutheran University,Private,CA,"<a href=""https://www.callutheran.edu/emergency/#202005031445"" target=""_blank"" rel=""nofollow noopener noreferrer"">Considering a range of scenarios</a>",Considering a range of scenarios,34.2248993,-118.878853,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — Bakersfield,Public,CA,Planning for online,Planning for online,35.3486641,-119.1033448,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — Channel Islands,Public,CA,Planning for online,Planning for online,34.1620556,-119.043463,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — Chico,Public,CA,Planning for online,Planning for online,39.7296988,-121.8497593,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — Dominguez Hills,Public,CA,Planning for online,Planning for online,33.8624581,-118.2544107,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — East Bay,Public,CA,Planning for online,Planning for online,37.6571459,-122.0574872,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — Fresno State,Public,CA,Planning for online,Planning for online,36.8133631,-119.7460947,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — Fullerton,Public,CA,Planning for online,Planning for online,33.8829226,-117.8869261,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — Humboldt,Public,CA,Planning for online,Planning for online,40.87473320000001,-124.0789268,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — Long Beach,Public,CA,Planning for online,Planning for online,33.7838235,-118.1140904,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — Los Angeles,Public,CA,Planning for online,Planning for online,34.0667698,-118.1684392,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — Maritime Academy,Public,CA,Planning for online,Planning for online,38.0691862,-122.2302775,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — Monterey Bay,Public,CA,Planning for online,Planning for online,36.6516548,-121.7977985,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — Northridge,Public,CA,Planning for online,Planning for online,34.2410366,-118.52767450000002,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — Polytechnic at Pomona,Public,CA,Planning for online,Planning for online,34.0588862,-117.8193781,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — Polytechnic at San Luis Obispo,Public,CA,Planning for online,Planning for online,35.30100230000001,-120.6585338,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — Sacramento,Public,CA,Planning for online,Planning for online,38.56129179999999,-121.4240519,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — San Bernardino,Public,CA,Planning for online,Planning for online,34.1817955,-117.3237219,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — San Diego State University,Public,CA,Planning for online,Planning for online,32.7759894,-117.0712533,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — San Francisco State University,Public,CA,Planning for online,Planning for online,37.7241492,-122.4799405,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — San José State University,Public,CA,Planning for online,Planning for online,37.3351874,-121.8810715,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — San Marcos,Public,CA,Planning for online,Planning for online,33.12949380000001,-117.1595707,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — Sonoma State University,Public,CA,Planning for online,Planning for online,38.3395854,-122.6743811,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
California State University — Stanislaus,Public,CA,Planning for online,Planning for online,37.525248,-120.8553931,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Cañada College,Public,CA,"<a href=""https://covid-19.smccd.edu/san-mateo-county-community-college-district-courses-go-mainly-online-for-summer-and-fall-terms/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,37.4473859,-122.2652419,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Chaffey College,Public,CA,"<a href=""https://www.chaffey.edu/coronavirus/docs/covid19-may-8.pdf"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,34.146722600000004,-117.5708601,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Chapman University,Private,CA,"<a href=""ttps://news.chapman.edu/2020/04/24/a-message-from-the-office-of-the-president/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,33.7931305,-117.8521395,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Citrus College,Public,CA,"<a href=""https://www.citruscollege.edu/covid19/Documents/memos/05.22.2020s.pdf"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,34.1332934,-117.8844223,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
City College of San Francisco,Public,CA,"<a href=""https://www.ccsf.edu/en/community.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,37.72556549999999,-122.4511358,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Claremont Colleges,Private,CA,"<a href=""https://tsl.news/claremont-colleges-committed-to-students-returning-in-fall-but-prep-for-other-scenarios/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,34.101408,-117.713856,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
College of Alameda,Public,CA,"<a href=""https://alameda.peralta.edu/announcement/coronavirus-update-for-peralta-students-and-employees/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,37.780721,-122.279205,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
College of San Mateo,Public,CA,"<a href=""https://covid-19.smccd.edu/san-mateo-county-community-college-district-courses-go-mainly-online-for-summer-and-fall-terms/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,37.5312641,-122.3376481,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
College of the Desert,Public,CA,"<a href=""http://www.collegeofthedesert.edu/newsroom/Pages/Summer-and-fall-2020-classes-move-online.aspx"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,33.73303260000001,-116.3864666,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Concordia University Irvine,Private,CA,"<a href=""https://www.cui.edu/en-us/studentlife/wellness-center/communication-to-cui-community-on-coronavirus-disease-2019-covid19"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,33.6539343,-117.8105295,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Crafton Hills College,Public,CA,"<a href=""https://www.craftonhills.edu/features/covid-19-response-resources/5-8-20-sbccd-update-on-summer-and-fall-2020.php"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,34.038649,-117.100396,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Cypress College,Public,CA,"<a href=""https://www.cypresscollege.edu/coronavirus/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,33.8281347,-118.0249841,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
De Anza College,Public,CA,"<a href=""https://www.deanza.edu/schedule/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,37.3206678,-122.0454878,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Diablo Valley College,Public,CA,"<a href=""https://www.dvc.edu/communication/schedules-and-catalogs/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,37.9686774,-122.0711537,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Dominican University of California,Private,CA,"<a href=""https://www.dominican.edu/covid19"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.9797597,-122.5132315,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Evergreen Valley College,Public,CA,"<a href=""https://www.evc.edu/current-students"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,37.3011274,-121.76507920000002,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Foothill College,Public,CA,"<a href=""https://www.foothill.edu/virtualcampus/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,37.361405100000006,-122.1277574,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Fuller Theological Seminary,Private,CA,"<a href=""https://www.fuller.edu/posts/covid-19-coronavirus/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,34.148218,-118.1404603,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Fullerton College,Public,CA,"<a href=""https://coronavirus.fullcoll.edu/2020/05/08/campus-update-for-students-may-8-distance-education-continues-through-the-fall/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Proposing a hybrid model</a>",Proposing a hybrid model,33.8758146,-117.9174827,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Glendale Community College,Public,CA,"<a href=""https://www.glendale.edu/students/student-services/health-center/what-you-need-to-know"" target=""_blank"" rel=""nofollow noopener noreferrer"">Proposing a hybrid model</a>",Proposing a hybrid model,34.1665795,-118.2279189,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Hartnell College,Public,CA,"<a href=""https://www.hartnell.edu/students/admissions/registration/index.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,36.6741645,-121.6676283,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Harvey Mudd College,Private,CA,"<a href=""https://www.hmc.edu/coronavirus-information/2020/04/23/april-23-hmc-covid-19-community-update/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Considering a range of scenarios</a>",Considering a range of scenarios,34.1057394,-117.7095541,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Hope International University,Private,CA,"<a href=""https://www.hiu.edu/about-hiu/news-and-events/news-detail.php?id=438"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,33.876788,-117.8854268,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Laguna College of Art and Design,Private,CA,"<a href=""https://my.lcad.edu/wp-content/uploads/2020/03/fall-semester-update-5_4_2020.pdf"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,33.5616845,-117.7723367,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Laney College,Public,CA,"<a href=""https://laney.edu/blog/updates-on-covid-19/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,37.79452149999999,-122.26116609999998,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Life Pacific University,Private,CA,"<a href=""https://www.lifepacific.edu/article/life-pacific-university-commits-open-university-safely-fall"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,34.0987651,-117.829457,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Los Angeles Pierce College,Public,CA,"<a href=""http://www.piercecollege.edu/offices/covid-19/subpage1.asp"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,34.184498100000006,-118.5790603,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Loyola Marymount University,Private,CA,"<a href=""https://www.lmu.edu/coronavirus/communitymessages/messagefromtheprovosttostudentsinformationaboutfallsemester2020/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,33.9701634,-118.4166111,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Master's University,Private,CA,"<a href=""https://www.masters.edu/coronavirus"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,34.38247,-118.519341,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Mendocino College,Public,CA,"<a href=""https://www.mendocino.edu/article/mendocino-college-hold-fall-semester-%E2%80%9Cprimarily%E2%80%9D-online"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,39.1886815,-123.2276275,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Menlo College,Private,CA,"<a href=""https://docs.google.com/document/d/e/2PACX-1vRNO3wQWi8C66GKeK1bJWFcVC73O-ZPevywKWj3cVysjpll_Reywjj9Gowh9jVdIovBPIEbtT70KZw0/pub"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.4560639,-122.192074,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Merritt College,Public,CA,"<a href=""https://alameda.peralta.edu/announcement/coronavirus-update-for-peralta-students-and-employees/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,37.78955300000001,-122.165612,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
MiraCosta College,Public,CA,"<a href=""http://miracosta.edu/covid"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,33.1900734,-117.302179,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Mission College,Public,CA,"<a href=""https://missioncollege.edu/class_schedule/index.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">Proposing a hybrid model</a>",Proposing a hybrid model,37.3910771,-121.9810604,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
Pacific School of Religion,Private,CA,"<a href=""https://psr.edu/latest-updates-from-the-president/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Proposing a hybrid model</a>",Proposing a hybrid model,37.8766391,-122.2630592,910,28692,97739,4251,0,0,0,0,0,0,0,0,0,0,0,0,45262,807446,2410359,113006,0,0,0,0,0,5,5,5,5
