Institution,Control,State,Plan,Notes,Resources
Abilene Christian University, Private, TX, Planning for in-person, plans to reopen classes in the fall, https://www.acu.edu/coronavirus/april-29-2020-news-release-about-plans-to-reopen-campus-in-fall-2020.html
Adelphi University, Private, NY, Proposing a hybrid model, planning for in-person  with hybrid options, https://health.adelphi.edu/au_news/covid-19-fall-2020-plans-for-adelphi-university-4-30-2020/
Adrian College, Private, MI, Planning for in-person, planning to reopen campus for fall, http://adrian.edu/news/ac-president-docking-says-campus-will-be-open-in-fall
Agnes Scott College, Private, GA, Planning for in-person, plans to resume on-campus instruction , https://www.agnesscott.edu/coronavirus/updates/covid19-task-force-05-01.html
Albany College of Pharmacy and Health Sciences, Private, NY, Planning for in-person, The plan is to begin the fall semester on time  ideally with students on campus., https://www.acphs.edu/sites/default/files/Coronavirus%20Update%20%23%2010%20-%204-17-20.pdf
Albion College, Private, MI, Planning for in-person, planning for in-person, https://www.albion.edu/student-life/health-services/covid-19
Allan Hancock College, Public, CA, Planning for online, plans to offer most fall classes remotely, https://www.hancockcollege.edu/news/newsreleases/05-11-2020%20Fall%20Classes.php
Alma College, Private, MI, Considering a range of scenarios, monitoring coronavirus developments, https://www.alma.edu/coronavirus-updates/
American University, Private, DC, Waiting to decide, expects a decision sometime in June, https://www.american.edu/president/announcements/may-11-2020.cfm
Amherst College, Private, MA, Waiting to decide, hopes to decide by June, https://www.amherst.edu/news/covid-19
Anderson University, Private, IN, , , 
Angelo State University, Public, TX, Planning for in-person, intends to have students  faculty  and staff back on campus for the fall semester, https://www.angelo.edu/emergency-notifications/coronavirus-updates.php
Anne Arundel Community College, Public, MD, Planning for online, will offer most fall classes online, https://www.thecampuscurrent.com/8993/front-page/showcase/classes-at-start-of-fall-semester-to-be-online/
Appalachian Bible College, Private, WV, Planning for in-person, planning for in-person, https://abc.edu/coronavirus/
Appalachian State University, Public, NC, Planning for in-person, planning on offering in-person fall classes, https://chancellor.appstate.edu/newsletter/id/194
Arizona State University, Public, AZ, Planning for in-person, planning to resume in-person classes, https://eoss.asu.edu/health/announcements/coronavirus
Arkansas State University, Public, AR, Planning for in-person, Expects to be on campus in the fall, http://www.astate.edu/news/chancellor-damphousse-announces-plans-for-fall-semester
Arkansas Tech University, Public, AR, Planning for in-person, planning for in-person, https://www.boonevilledemocrat.com/news/20200510/atu-president-issues-statement-on-plans-for-fall-2020
Asbury University, Private, KY, Planning for in-person, planning for in-person, https://www.asbury.edu/covid19plan/#may04update
Assumption College, Private, MA, Considering a range of scenarios, planning a range of options, https://vimeo.com/417654418
Auburn University, Public, AL, Planning for in-person, planning for in-person, https://www.waaytv.com/content/news/Auburn-University-planning-to-welcome-students-back-to-campus-in-the-fall--570077491.html
Augustana College, Private, SD, Planning for in-person, planning for in-person, http://www.augie.edu/viking-flex-plan-fall-2020
Austin Peay State University, Public, TN, Planning for in-person, planning for in-person fall classes, https://www.wsmv.com/news/austin-peay-state-university-plans-to-resume-in-person-classes-in-fall/article_f307ee3c-8e19-11ea-80f4-6723d3638edc.html
Averett University, Private, VA, Planning for in-person, making plans to reopen in the fall, https://www.averett.edu/student-life/campus-security/livesafe/
Avila University, Private, MO, Planning for in-person, planning for in-person, https://www.avila.edu/user/avila-campus-to-open-for-fall-2020-semester
Azusa Pacific University, Private, CA, Planning for in-person, planning for in-person, http://azu/
Babson College, Private, MA, Considering a range of scenarios, preparing for a range of scenarios, https://entrepreneurship.babson.edu/babson-college-open-fall/
Ball State University, Public, IN, Planning for in-person, planning for in-person, https://www.youtube.com/watch?v=ieuOdm6M5t4
Bard College, Private, NY, Planning for in-person, planning for in-person, https://www.bard.edu/covid19/
Barnard College, Private, NY, Considering a range of scenarios, preparing for a range of scenarios, https://alert.barnard.edu/news/financial-decision-making-and-summer
Barry University, Private, FL, Considering a range of scenarios, considering a range of scenarios  intending to reopen in the fall, http://www.barry.edu/prepare/
Bates College, Private, ME, Waiting to decide, hoping to decide by the end of June, https://www.bates.edu/covid-19/2020/05/08/planning-for-next-academic-year/
Bay Atlantic University, Private, DC, Waiting to decide, waiting to decide, https://bau.edu/News/coronavirus-updates/
Baylor University, Private, TX, Planning for in-person, We intend to safely resume in-person teaching  learning and residential life for the fall 2020 semester., https://www.baylor.edu/president/news.php?action=story&story=218786
Beacon College, Private, FL, Planning for in-person, plans to hold fall semester on-campus, https://www.beaconcollege.edu/beacon-news/2020/04/coronavirus-update-april-17-2020/
Belhaven University, Private, MS, Planning for in-person, planning to for in-person classes in the fall, https://www.belhaven.edu/coronavirus/Letter-to-students-May.pdf
Beloit College, Private, WI, Proposing a hybrid model, shifting to a module based semester to allow flexibility to move toward either online or in-person classes, https://www.beloit.edu/live/blurbs/630-reasons-for-module-based-semester-letter-sent-to
Bennington College, Private, VT, Planning for in-person, planning for in-person, https://www.bennington.edu/bennington-college-fall-2020-plan
Bethel University, Private, MN, Planning for in-person, planning for in-person, https://www.bethel.edu/covid-19/images/5-11-20-covid-19-update.pdf
Binghamton University, Public, NY, Planning for in-person, planning for in-person, https://www.binghamton.edu/president/statements.html
Biola University, Private, CA, Planning for in-person, planning for an in-person fall semester, https://www.biola.edu/coronavirus#april_30_2020_message_from_president_corey
Bloomfield College, Private, NJ, Considering a range of scenarios, considering a range of scenarios, https://bloomfield.edu/campus-life/campus-security/campus-alerts/coronavirus-updates/messages-president-marcheta-p-evans
Bloomsburg University, Public, PA, Planning for in-person, expects to return to campus in fall semester, https://bloomu.edu/coronavirus
Boise State University, Public, ID, Waiting to decide, waiting to decide, https://www.boisestate.edu/publicsafety-emergencymanagement/information-on-the-2019-novel-coronavirus/
Boston College, Private, MA, Planning for in-person, intends to hold in-person classes in the fall, https://www.bostonglobe.com/2020/05/19/metro/bc-intends-hold-classes-campus/
Boston University, Private, MA, Planning for in-person,  leaning toward in-person classes, http://www.bu.edu/articles/2020/covid-19-recovery-plan/
Bowdoin College, Private, ME, Waiting to decide, If we can find a way  to be back on campus in the fall — a way that is safe for the campus and Brunswick community — we will be back., https://www.bowdoin.edu/covid-19/messages/04-30-2020.html
Bowling Green State University, Public, OH, Planning for in-person, planning for in-person, https://www.13abc.com/content/news/UT-BGSU-announce-plans-to-reopen-for-in-person-classes-in-fall-570374001.html
Bradley University, Private, IL, Planning for in-person, intends to reopen campus in the fall, https://www.centralillinoisproud.com/news/local-news/bradley-university-resuming-on-campus-classes-in-the-fall/
Brandeis University, Private, MA, Considering a range of scenarios, considering a range of scenarios, https://www.brandeis.edu/coronavirus/campus-updates/2020-05-01-update-on-covid-19-task-force-financial-impact-of-covid-19.htmlhttps://www.brandeis.edu/coronavirus/campus-updates/2020-05-01-update-on-covid-19-task-force-financial-impact-of-covid-19.html
Brown University, Private, RI, Planning for in-person, The university is leaning toward in-person classes. Brown’s president  Christina Paxson  wrote an op-ed in The New York Times that called the reopening of college campuses a national priority and that proposed strict virus testing and tracing protocols to ensure safety., https://www.wsj.com/articles/the-big-question-for-colleges-will-there-be-a-fall-semester-on-campus-11587474000; https://www.nytimes.com/2020/04/26/opinion/coronavirus-colleges-universities.html
Bryant University, Private, RI, Planning for in-person, intends to hold fall semester on campus, https://www.providencejournal.com/news/20200430/bryant-university-planning-to-open-campus-for-fall-semester
Bryn Mawr College, Private, PA, Waiting to decide, waiting to decide, https://www.brynmawr.edu/coronavirus/frequently-asked-questions#academics
Bucknell University, Private, PA, Considering a range of scenarios, considering a range of scenarios, https://www.bucknell.edu/life-bucknell/health-wellness-safety/coronavirus-covid-19-updates
Buena Vista University, Private, IA, Planning for in-person, planning for in-person, https://www.bvu.edu/news/bvu-resume-person-classes-fall-2020
Butte College, Public, CA, Proposing a hybrid model, planning a hybrid model, http://www.butte.edu/feeds/2020/fall-2020-instruction-updates.html
California Baptist University, Private, CA, Planning for in-person, planning to resume on-ground classes for the fall semester, https://calbaptist.edu/news/cbu_update_coronavirus_1
California Institute of the Arts, Private, CA, Proposing a hybrid model, proposing a hybrid model for fall semester, https://calarts.edu/about/news-and-events/newsroom/institute-news/calarts-approach-to-academic-year-2020-21
California Lutheran University, Private, CA, Considering a range of scenarios, considering a range of scenarios, https://www.callutheran.edu/emergency/#202005031445
California State University — Bakersfield, Public, CA, Planning for online,  , 
California State University — Channel Islands, Public, CA, Planning for online,  , 
California State University — Chico, Public, CA, Planning for online,  , 
California State University — Dominguez Hills, Public, CA, Planning for online,  , 
California State University — East Bay, Public, CA, Planning for online,  , 
California State University — Fresno State, Public, CA, Planning for online,  , 
California State University — Fullerton, Public, CA, Planning for online,  , 
California State University — Humboldt, Public, CA, Planning for online,  , 
California State University — Long Beach, Public, CA, Planning for online,  , 
California State University — Los Angeles, Public, CA, Planning for online,  , 
California State University — Maritime Academy, Public, CA, Planning for online,  , 
California State University — Monterey Bay, Public, CA, Planning for online,  , 
California State University — Northridge, Public, CA, Planning for online,  , 
California State University — Polytechnic at Pomona, Public, CA, Planning for online,  , 
California State University — Polytechnic at San Luis Obispo, Public, CA, Planning for online,  , 
California State University — Sacramento, Public, CA, Planning for online,  , 
California State University — San Bernardino, Public, CA, Planning for online,  , 
California State University — San Diego State University, Public, CA, Planning for online,  , 
California State University — San Francisco State University, Public, CA, Planning for online,  , 
California State University — San José State University, Public, CA, Planning for online,  , 
California State University — San Marcos, Public, CA, Planning for online,  , 
California State University — Sonoma State University, Public, CA, Planning for online,  , 
California State University — Stanislaus, Public, CA, Planning for online,  , 
California State University system, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Calvin University, Private, MI, Planning for in-person, planning for in-person, https://calvin.edu/news/archive/calvin-university-takes-major-step-toward-opening-in-fall-2020
Cameron University, Public, OK, Considering a range of scenarios, planning for in-person  online and hybrid classes in the fall, https://www.cameron.edu/covid-19/summer-and-fall-2020-classes
Campbell University, Private, NC, Considering a range of scenarios, considering a range of scenarios, https://news.campbell.edu/articles/global-categories/campus-community/
Cape Cod Community College, Public, MA, Proposing a hybrid model, moving to a hybrid format, https://www.capecod.edu/coronavirus/index.html
Carnegie Mellon University, Private, PA, Proposing a hybrid model, planning for fall semester classes to begin on August 31, https://www.cmu.edu/leadership/president/campus-comms/2020/2020-05-14.html
Carroll College, Private, MT, Planning for in-person, href=https://mailchi.mp/472fbc502745/for-all-the-saints-564513?e=ffc6bd0d3b>committed to re-opening for in-person instruction this fall, 
Case Western Reserve University, Private, OH, Proposing a hybrid model, proposing a hybrid model, https://case.edu/studentlife/healthcounseling/health-serviceshealth-updatescovid-19-campus-communications/april-9-message-facultystaff-commencement-summer-and-fall
Catholic University of America, Private, DC, Planning for in-person, planning to reopen in the fall, https://communications.catholic.edu/coronavirus/index.html
Cedarville University, Private, OH, Planning for in-person, planning a range of scenarios, https://blogs.cedarville.edu/coronavirus-updates/2020/05/may-11-update-planning-for-fall-reopening-the-economy-town-hall-and-summer-programming/
Central Christian College of the Bible, Private, MO, Planning for in-person, plans to open campus in the fall but use online instruction if necessary, https://cccb.edu/news/covid-19/
Central Michigan University, Public, MI, Planning for in-person, planning to return to campus in the fall, https://www.cmich.edu/news/article/pages/CMU_plans_return_for_fall.aspx
Centre College, Private, KY, Proposing a hybrid model, block-scheduling courses in shorter segments to allow flexibility to shift toward either in-person or remote learning, https://www.centre.edu/centre-college-adopts-flexible-block-schedule-for-fall-2020/
Chaffey College, Public, CA, Planning for online, a majority of fall classes will be held online, https://www.chaffey.edu/coronavirus/docs/covid19-may-8.pdf
Chaminade University, Private, HI, Planning for in-person, plans to start fall semester in-person  , https://chaminade.edu/coronavirus/
Chapman University, Private, CA, Planning for in-person, optimistically planning for a safe return in the fall with social distancing and safety constraints in place, https://news.chapman.edu/2020/04/24/a-message-from-the-office-of-the-president/
Charleston Southern University, Private, SC, Planning for in-person, planning for in-person, https://www.charlestonsouthern.edu/csu-plans-to-reopen-for-in-person-classes-this-fall/
Chowan University, Private, NC, Planning for in-person, planning to be open in the fall, https://chowan.edu/news/chowan-university-preparing-be-open-fall-2020
Christopher Newport University, Public, VA, Planning for in-person, We are planning for our classes to resume on campus in the fall depending on the state of coronavirus and guidance from state and federal authorities., http://cnu.edu/news/2020/04/22-cnu_tuitionfreeze/
City College of San Fransisco, Public, CA, Planning for online, planning for online, https://www.ccsf.edu/en/community.html
Claremont Colleges, Private, CA, Planning for in-person, committed to in-person fall classes  but no final decision expected till July 1, https://tsl.news/claremont-colleges-committed-to-students-returning-in-fall-but-prep-for-other-scenarios/
Clemson University, Public, SC, Considering a range of scenarios, exploring a range of scenarios  from in-person classes to entirely online, https://www.greenvilleonline.com/story/news/2020/04/23/coronavirus-sc-impact-clemson-has-laser-focus-full-reopening-fall-semester/3006062001/
Cleveland State University, Public, OH, Considering a range of scenarios, considering a range of scenarios, https://www.cleveland.com/opinion/2020/05/preparing-for-a-post-coronavirus-cleveland-state-university-harlan-sands.html
Coastal Carolina University, Public, SC, Planning for in-person, plans to resume in-person instruction in the fall, https://www.coastal.edu/coastal-now/news/advisory/
Colby College, Private, ME, Waiting to decide, waiting to decide  with one trustee saying that a delayed start is possible, https://www.cnbc.com/2020/05/13/colby-college-trustee-bob-diamond-delaying-fall-semester-possible-to-ensure-in-person-class.html
Colgate University, Private, NY, Considering a range of scenarios, will decide by June 30, https://www.colgate.edu/about/offices-centers-institutes/dean-college/student-health-services/covid-19-information-and-5-19
