Plan,City,Rural,Suburb,Town,two_year,four_year,No_Housing,Yes_Housing,Distant,Fringe,Large,Midsize,Remote,Small,Private,Public
Hybrid,0.40522875816993464,0.0915032679738562,0.28104575163398693,0.2222222222222222,0.1895424836601307,0.8104575163398693,0.19281045751633988,0.8071895424836601,0.13725490196078433,0.08496732026143791,0.4019607843137255,0.1111111111111111,0.0915032679738562,0.17320261437908496,0.545751633986928,0.4542483660130719
In-person,0.3711967545638945,0.0973630831643002,0.23935091277890466,0.2920892494929006,0.15415821501014199,0.845841784989858,0.11156186612576065,0.8884381338742393,0.1744421906693712,0.10344827586206896,0.2920892494929006,0.16024340770791076,0.11156186612576065,0.15821501014198783,0.6166328600405679,0.38336713995943206
Online,0.4692028985507246,0.11775362318840579,0.2717391304347826,0.14130434782608695,0.4945652173913043,0.5054347826086957,0.5036231884057971,0.4963768115942029,0.09782608695652174,0.1105072463768116,0.4311594202898551,0.13405797101449277,0.050724637681159424,0.17572463768115942,0.28442028985507245,0.7155797101449275
Other,0.4098360655737705,,0.5245901639344263,0.06557377049180328,0.13114754098360656,0.8688524590163934,0.32786885245901637,0.6721311475409836,0.04918032786885246,0.01639344262295082,0.6885245901639344,0.08196721311475409,,0.16393442622950818,0.9344262295081968,0.06557377049180328
TBD,0.3719626168224299,0.18691588785046728,0.20186915887850468,0.23925233644859814,0.42990654205607476,0.5700934579439252,0.4355140186915888,0.5644859813084112,0.16074766355140188,0.15514018691588785,0.30654205607476637,0.11962616822429907,0.1102803738317757,0.14766355140186915,0.4953271028037383,0.5046728971962616
