Plan,City,Rural,Suburb,Town,No Housing,Have Housing,Distant,Fringe,Large,Midsize,Remote,Small,Private,Public,two year,four year
Hybrid,0.40522875816993464,0.0915032679738562,0.28104575163398693,0.2222222222222222,0.19281045751633988,0.8071895424836601,0.13725490196078433,0.08496732026143791,0.4019607843137255,0.1111111111111111,0.0915032679738562,0.17320261437908496,0.545751633986928,0.4542483660130719,0.1895424836601307,0.8104575163398693
In-person,0.3719512195121951,0.0975609756097561,0.23983739837398374,0.29065040650406504,0.11178861788617886,0.8882113821138211,0.17276422764227642,0.10365853658536585,0.2926829268292683,0.16056910569105692,0.11178861788617886,0.15853658536585366,0.6158536585365854,0.38414634146341464,0.15447154471544716,0.8455284552845529
Online,0.46823956442831216,0.11796733212341198,0.27223230490018147,0.14156079854809436,0.5045372050816697,0.4954627949183303,0.09800362976406533,0.11070780399274047,0.4319419237749546,0.13430127041742287,0.050816696914700546,0.17422867513611615,0.2831215970961887,0.7168784029038112,0.4954627949183303,0.5045372050816697
TBD,0.3719626168224299,0.18691588785046728,0.20186915887850468,0.23925233644859814,0.4355140186915888,0.5644859813084112,0.16074766355140188,0.15514018691588785,0.30654205607476637,0.11962616822429907,0.1102803738317757,0.14766355140186915,0.4953271028037383,0.5046728971962616,0.42990654205607476,0.5700934579439252
