Control,State,Plan,2018 Fall Enrollment,Known_Cases_in_County_per_100k_Residents,lat,lng,institution,Address,Campus_Size,Housing,Total_All_Undergrad_Grant/Scholarship,AVG_All_Undergrad_Grant/Scholarship,Total_Federal_Student_Loans,AVG_Federal_Student_Loans_Amount,undergraduate_population,graduate_population,total_number_faculty,college_year,zipcode,city,county,Tuition_out_state_undergraduate,Tuition_in_state_undergraduate,Tuition_In_state_graduate,Tuition_Out_State_Graduate,Tuition_fee_graduate_In_State,Tuition_fee_graduate_Out_State,Average_Tuition,Average_Expense,per_dem,per_gop,pi_2014,pi_2015,pi_2016,pi_2017,pi_2018,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,state,cases_mar,cases_apr,cases_may,cases_june,cases_july,death_mar,death_apr,death_may,death_june,death_july,Total_Cases,Percent_of_State_Cases,Cases_per_100000,Total_Deaths,Plan_type,Campus_Location,pct_change_2014_2015_gdp,pct_change_2015_2016_gdp,pct_change_2016_2017_gdp,pct_change_2017_2018_gdp,pct_change_gdp_avg,pct_change_2014_2015_income,pct_change_2015_2016_income,pct_change_2016_2017_income,pct_change_2017_2018_income,pct_change_income_avg,control_year
Private,NY,In-person,10871.0,3194,40.7166872,-73.5993965,Hofstra University,"100 Hofstra University, Hempstead, New York 11549",Large,Yes,144095475.0,24699.0,20324888.0,6461.0,6498,4306,1229,4,11549,Hempstead,Nassau,0.0,0.0,0,0,0,0,44832.5,62863.0,0.512509818244,0.4594004159100001,75376.0,78573.0,80690.0,85168.0,89839.0,79298201.0,80269906.0,80681308.0,81313669.0,81196003.0,NY,7344,35854,40307,41807,43158,48,2111,2615,2693,2706,43480.0,10.4,3204.0,2194.0,In-class,Suburb,0.01225380888527345,0.0051252333595606814,0.007837763363975209,-0.0014470629778125005,0.00594243565774921,0.042414030991296967,0.02694309750168633,0.05549634403271781,0.054844542551192935,0.044924503769223516,Private-4
Private,NY,TBD,4929.0,3194,40.686273299999996,-73.6272812,Molloy College,"1000 Hempstead Ave, Rockville Centre, New York 11571-5002",Large,Yes,37480468.0,13434.0,16459336.0,7289.0,3496,1617,676,4,11571,Rockville Centre,Nassau,0.0,0.0,0,0,0,0,30875.0,51097.5,0.512509818244,0.4594004159100001,75376.0,78573.0,80690.0,85168.0,89839.0,79298201.0,80269906.0,80681308.0,81313669.0,81196003.0,NY,7344,35854,40307,41807,43158,48,2111,2615,2693,2706,43480.0,10.4,3204.0,2194.0,Not In-Class,Suburb,0.01225380888527345,0.0051252333595606814,0.007837763363975209,-0.0014470629778125005,0.00594243565774921,0.042414030991296967,0.02694309750168633,0.05549634403271781,0.054844542551192935,0.044924503769223516,Private-4
Public,NY,Online,17406.0,3194,40.72904060000001,-73.59401329999999,Nassau Community College,"One Education Dr, Garden City, New York 11530-6793",Large,No,56606423.0,6552.0,12744876.0,5194.0,16650,0,1219,2,11530,Garden City,Nassau,10952.5,5722.5,0,0,0,0,0.0,25107.5,0.512509818244,0.4594004159100001,75376.0,78573.0,80690.0,85168.0,89839.0,79298201.0,80269906.0,80681308.0,81313669.0,81196003.0,NY,7344,35854,40307,41807,43158,48,2111,2615,2693,2706,43480.0,10.4,3204.0,2194.0,Not In-Class,Suburb,0.01225380888527345,0.0051252333595606814,0.007837763363975209,-0.0014470629778125005,0.00594243565774921,0.042414030991296967,0.02694309750168633,0.05549634403271781,0.054844542551192935,0.044924503769223516,Public-2
Private,NY,TBD,473.0,3194,40.80936699999999,-73.51617999999998,New York College of Health Professions,"6801 Jericho Tpk, Syosset, New York 11791-4413",Large,No,702028.0,3250.0,1188022.0,4273.0,427,78,88,4,11791,Syosset,Nassau,0.0,0.0,0,0,0,0,14226.0,42384.25,0.512509818244,0.4594004159100001,75376.0,78573.0,80690.0,85168.0,89839.0,79298201.0,80269906.0,80681308.0,81313669.0,81196003.0,NY,7344,35854,40307,41807,43158,48,2111,2615,2693,2706,43480.0,10.4,3204.0,2194.0,Not In-Class,Suburb,0.01225380888527345,0.0051252333595606814,0.007837763363975209,-0.0014470629778125005,0.00594243565774921,0.042414030991296967,0.02694309750168633,0.05549634403271781,0.054844542551192935,0.044924503769223516,Private-4
Private,NY,In-person,104.0,3194,40.8845864,-73.64405490000001,Webb Institute,"298 Crescent Beach Rd, Glen Cove, New York 11542-1398",Large,Yes,5259925.0,50576.0,66525.0,4435.0,102,0,16,4,11542,Glen Cove,Nassau,0.0,0.0,0,0,0,0,49510.0,69985.0,0.512509818244,0.4594004159100001,75376.0,78573.0,80690.0,85168.0,89839.0,79298201.0,80269906.0,80681308.0,81313669.0,81196003.0,NY,7344,35854,40307,41807,43158,48,2111,2615,2693,2706,43480.0,10.4,3204.0,2194.0,In-class,Suburb,0.01225380888527345,0.0051252333595606814,0.007837763363975209,-0.0014470629778125005,0.00594243565774921,0.042414030991296967,0.02694309750168633,0.05549634403271781,0.054844542551192935,0.044924503769223516,Private-4
Private,MI,In-person,1856.0,398,41.8987054,-84.05924139999998,Adrian College,"110 S Madison St, Adrian, Michigan 49221-2575",Distant,Yes,48096035.0,27250.0,6041428.0,4325.0,1779,49,194,4,49221,Adrian,Lenawee,0.0,0.0,0,0,0,0,36449.0,52772.5,0.36496350365,0.575836147729,34264.0,36287.0,36934.0,37956.0,39600.0,2457283.0,2471418.0,2530092.0,2544827.0,2674402.0,MI,15,109,878,949,1117,0,2,7,10,16,413.0,0.4,419.0,19.0,In-class,Town,0.005752288197981265,0.02374102640670255,0.005823898893795166,0.05091701714890639,0.02155855766184634,0.059041559654447816,0.01783007688703944,0.027670980668218985,0.04331331014859311,0.03696398183957483,Private-4
Private,MI,In-person,2433.0,398,41.904611100000004,-84.01626170000002,Siena Heights University,"1247 E. Siena Heights Dr., Adrian, Michigan 49221",Distant,Yes,20335330.0,13352.0,13343920.0,9951.0,2103,234,200,4,49221,Adrian,Lenawee,0.0,0.0,0,0,0,0,26266.0,39384.5,0.36496350365,0.575836147729,34264.0,36287.0,36934.0,37956.0,39600.0,2457283.0,2471418.0,2530092.0,2544827.0,2674402.0,MI,15,109,878,949,1117,0,2,7,10,16,413.0,0.4,419.0,19.0,In-class,Town,0.005752288197981265,0.02374102640670255,0.005823898893795166,0.05091701714890639,0.02155855766184634,0.059041559654447816,0.01783007688703944,0.027670980668218985,0.04331331014859311,0.03696398183957483,Private-4
Private,FL,Online,1705.0,2248,28.57625800000001,-81.36762619999998,AdventHealth University,"671 Winyah Drive, Orlando, Florida 32803",Large,Yes,4754908.0,6042.0,5972751.0,7777.0,1234,454,247,4,32803,Orlando,Orange,0.0,0.0,0,0,0,0,13967.5,27043.5,0.603845731037,0.357440454379,38266.0,40379.0,40750.0,42776.0,44647.0,74269611.0,77882979.0,81146561.0,84359305.0,87741273.0,FL,299,1384,1975,10313,28590,4,33,40,57,211,30776.0,6.0,2209.0,275.0,Not In-Class,City,0.048652038853414764,0.04190366164601896,0.039591868840874234,0.04009004104526466,0.04255940259639315,0.05521873203365912,0.009187944228435573,0.04971779141104295,0.04373948008228913,0.039465986938856695,Private-4
Private,FL,In-person,508.0,2184,28.034575,-82.3834526,Florida College,"671 Winyah Drive, Orlando, Florida 32803",Large,Yes,4754908.0,6042.0,5972751.0,7777.0,1234,454,247,4,32803,Orlando,Orange,0.0,0.0,0,0,0,0,13967.5,27043.5,0.603845731037,0.357440454379,38266.0,40379.0,40750.0,42776.0,44647.0,74269611.0,77882979.0,81146561.0,84359305.0,87741273.0,FL,299,1384,1975,10313,28590,4,33,40,57,211,30776.0,6.0,2209.0,275.0,In-class,City,0.048652038853414764,0.04190366164601896,0.039591868840874234,0.04009004104526466,0.04255940259639315,0.05521873203365912,0.009187944228435573,0.04971779141104295,0.04373948008228913,0.039465986938856695,Private-4
Private,FL,TBD,548.0,1459,28.6157132,-81.312692,Herzing University -Winter Park ,"1865 SR 436, Winter Park, Florida 32792",Large,No,3581353.0,7508.0,4341609.0,9357.0,609,3,48,4,32792,Winter Park,Orange,0.0,0.0,0,0,0,0,13970.0,29656.0,0.603845731037,0.357440454379,38266.0,40379.0,40750.0,42776.0,44647.0,74269611.0,77882979.0,81146561.0,84359305.0,87741273.0,FL,299,1384,1975,10313,28590,4,33,40,57,211,30776.0,6.0,2209.0,275.0,Not In-Class,Suburb,0.048652038853414764,0.04190366164601896,0.039591868840874234,0.04009004104526466,0.04255940259639315,0.05521873203365912,0.009187944228435573,0.04971779141104295,0.04373948008228913,0.039465986938856695,Private-4
