state,county,march_case,april_case,may_case,june_case,july_case,march_death,april_death,may_death,june_death,july_death
AL,Limestone,20.0,44.0,94.0,407.0,1134.0,0.0,0.0,0.0,0.0,12.0
AL,Lowndes,1.0,65.0,238.0,462.0,559.0,0.0,1.0,12.0,20.0,26.0
AL,Macon,1.0,37.0,75.0,168.0,308.0,0.0,2.0,4.0,8.0,12.0
AL,Madison,96.0,227.0,327.0,1047.0,4744.0,1.0,4.0,4.0,7.0,30.0
AL,Marengo,4.0,49.0,163.0,278.0,509.0,0.0,3.0,6.0,11.0,14.0
AL,Marion,9.0,75.0,121.0,205.0,537.0,0.0,6.0,11.0,12.0,24.0
AL,Marshall,7.0,317.0,687.0,1505.0,2843.0,0.0,6.0,9.0,9.0,29.0
AL,Mobile,45.0,1057.0,2191.0,3660.0,7915.0,1.0,55.0,115.0,138.0,186.0
AL,Monroe,1.0,13.0,37.0,195.0,420.0,0.0,1.0,2.0,2.0,4.0
AL,Montgomery,29.0,337.0,1632.0,3839.0,6045.0,0.0,6.0,38.0,97.0,142.0
AL,Morgan,19.0,68.0,251.0,966.0,2125.0,0.0,0.0,1.0,3.0,15.0
AL,Perry,,9.0,37.0,135.0,432.0,,0.0,0.0,0.0,3.0
AL,Pickens,3.0,48.0,111.0,205.0,353.0,0.0,1.0,4.0,6.0,10.0
AL,Pike,4.0,66.0,198.0,404.0,641.0,0.0,0.0,0.0,5.0,7.0
AL,Randolph,2.0,62.0,125.0,171.0,388.0,0.0,4.0,7.0,9.0,11.0
AL,Russell,1.0,57.0,167.0,474.0,1168.0,0.0,0.0,0.0,0.0,1.0
AL,Shelby,88.0,320.0,503.0,1077.0,2979.0,0.0,12.0,19.0,23.0,32.0
AL,St. Clair,14.0,72.0,118.0,302.0,1179.0,0.0,0.0,1.0,2.0,9.0
AL,Sumter,1.0,64.0,220.0,276.0,357.0,0.0,2.0,6.0,12.0,17.0
AL,Talladega,6.0,61.0,109.0,265.0,944.0,0.0,2.0,3.0,7.0,13.0
AL,Tallapoosa,12.0,285.0,423.0,567.0,824.0,1.0,18.0,64.0,70.0,79.0
AL,Tuscaloosa,28.0,208.0,738.0,1986.0,3822.0,0.0,1.0,14.0,38.0,63.0
AL,Walker,31.0,95.0,344.0,855.0,1445.0,0.0,0.0,2.0,17.0,63.0
AL,Washington,3.0,34.0,68.0,101.0,301.0,0.0,1.0,6.0,7.0,10.0
AL,Wilcox,2.0,66.0,144.0,280.0,404.0,0.0,2.0,7.0,8.0,9.0
AL,Winston,2.0,15.0,88.0,231.0,422.0,0.0,0.0,0.0,3.0,10.0
AR,Arkansas,2.0,2.0,5.0,28.0,183.0,0.0,0.0,0.0,0.0,1.0
AR,Ashley,1.0,15.0,19.0,71.0,214.0,0.0,0.0,0.0,1.0,4.0
AR,Baxter,2.0,5.0,11.0,20.0,61.0,0.0,0.0,0.0,0.0,0.0
AR,Benton,38.0,102.0,507.0,2723.0,4408.0,0.0,0.0,2.0,18.0,35.0
AR,Boone,1.0,5.0,6.0,26.0,142.0,0.0,0.0,0.0,1.0,1.0
