Control,State,Plan,2018 Fall Enrollment,Known_Cases_in_County_per_100k_Residents,lat,lng,institution,Address,Campus_Size,Housing,Total_All_Undergrad_Grant/Scholarship,AVG_All_Undergrad_Grant/Scholarship,Total_Federal_Student_Loans,AVG_Dederal_Student_Loans_Amount,undergraduate_population,graduate_population,total_number_faculty,college_year,zipcode,city,county,Tuition_out_state_undergraduate,Tuition_in_state_undergraduate,Tuition_In_state_graduate,Tuition_Out_State_Graduate,Tuition_fee_graduate_In_State,Tuition_fee_graduate_Out_State,Average_Tuition,Average_Expense,AVG_Tuition-Grad-2019-2020,AVG_Fee-Grad-2019-2020,per_dem,per_gop,pi_2014,pi_2015,pi_2016,pi_2017,pi_2018,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,state,cases_mar,cases_apr,cases_may,cases_june,cases_july,death_mar,death_apr,death_may,death_june,death_july,Total_Cases,Perecent_of_State_Cases,Cases_per_100000,Total_Deaths
Private,PA,Fully in person,227.0,1198,39.9926924,-75.2552516,Saint Charles Borromeo Seminary,"100 East Wynnewood Road, Wynnewood, Pennsylvania 19096",Suburb: Large,Yes,97475.0,6498.0,147599.00 ,5467.00 ,48,144,48,4,19096,Wynnewood,Montgomery,0.0,0.0,0,0,0,0,21114.5,39949.75,22727.0,1313.0,0.58729698308,0.376157047316,69983.0,73142.0,75430.0,75872.0,80606.0,65322360.0,66088804.0,67769226.0,67635710.0,69918251.0,PA,540,4307,7006,8448,9723,5,351,682,801,847,9870,8.6%,"1,188",850
Private,AZ,Hybrid,776.0,2828,33.6209932,-112.1807676,Arizona Christian University,"1 W. Firestorm Way, Glendale, Arizona 85306-3216",Suburb: Large,Yes,9463181.0,15488.0,4442515.00 ,10051.00 ,870,0,129,4,85306,Glendale,Maricopa,0.0,0.0,0,0,0,0,25885.0,41657.5,,,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Public,AZ,Hybrid,51585.0,2828,33.424239899999996,-111.9280527,Arizona State University-West,"4701 W Thunderbird Road, Glendale, Arizona 85306",City: Large,Yes,29862623.0,9312.0,11561631.00 ,6652.00 ,4601,328,385,4,85306,Glendale,Maricopa,25835.75,10073.75,11720,23544,888,888,0.0,25994.5,,,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Public,AZ,Primarily online,4445.0,2828,33.607530499999996,-112.1594168,Arizona State University-West,"4701 W Thunderbird Road, Glendale, Arizona 85306",City: Large,Yes,29862623.0,9312.0,11561631.00 ,6652.00 ,4601,328,385,4,85306,Glendale,Maricopa,25835.75,10073.75,11720,23544,888,888,0.0,25994.5,,,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Public,AZ,Hybrid,11584.0,2828,33.4534066,-112.0732287,Arizona State University-Downtown Phoenix,"411 N Central Ave, Phoenix, Arizona 85004",City: Large,Yes,74344880.0,10651.0,24655998.00 ,6446.00 ,8513,2907,1123,4,85004,Phoenix,Maricopa,27901.5,10830.5,11720,26160,888,888,0.0,29549.25,,,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Public,AZ,Hybrid,5095.0,2828,33.3060092,-111.6785238,Arizona State University-Polytechnic,"7001 E Williams Field Road, Mesa, Arizona 85212",City: Large,Yes,31051443.0,9610.0,12855790.00 ,6945.00 ,4611,632,311,4,85212,Mesa,Maricopa,25835.75,10073.75,11720,23544,888,888,0.0,26622.0,,,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Public,AZ,Hybrid,38540.0,2828,33.46412000000001,-111.9231439,Arizona State University-Skysong,"1475 N Scottsdale Rd, Scottsdale, Arizona 85257",City: Large,Yes,111462404.0,5907.0,119721899.00 ,7746.00 ,34540,10533,1334,4,85257,Scottsdale,Maricopa,17892.5,9926.75,0,0,0,0,0.0,26893.75,6384.0,208.0,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Public,AZ,Primarily online,14728.0,2828,33.295944,-111.79580459999998,Chandler-Gilbert Community College,"2626 E Pecos Rd, Chandler, Arizona 85225-2499",City: Large,Yes,10717265.0,3292.0,4463995.00 ,3780.00 ,15585,0,596,2,85225,Chandler,Maricopa,7866.0,2082.0,0,0,0,0,0.0,20949.25,,,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Private,AZ,Other,488.0,2828,33.5746851,-112.117971,CollegeAmerica -Phoenix,"9801 N. Metro Parkway East, Phoenix, Arizona 85051",City: Large,No,1684021.0,4048.0,3397583.00 ,8167.00 ,392,0,15,4,85051,Phoenix,Maricopa,0.0,0.0,0,0,0,0,16373.25,33140.5,,,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Public,AZ,TBD,9976.0,2828,33.4804594,-112.3434634,Estrella Mountain Community College,"3000 N Dysart Rd, Avondale, Arizona 85392-1000",Suburb: Midsize,No,15622522.0,3527.0,4723788.00 ,3685.00 ,10120,0,462,2,85392,Avondale,Maricopa,7866.0,2082.0,0,0,0,0,0.0,17932.75,,,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Public,AZ,TBD,5081.0,2828,33.4497249,-111.99719650000002,Gateway Community College,"108 N. 40th Street, Phoenix, Arizona 85034",City: Large,No,6488688.0,2997.0,2784419.00 ,3783.00 ,5067,0,312,2,85034,Phoenix,Maricopa,6488.25,3921.25,0,0,0,0,0.0,17932.75,,,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Public,AZ,Primarily online,17942.0,2828,33.5694333,-112.19082709999999,Glendale Community College ,"6000 W Olive Ave, Glendale, Arizona 85302",Suburb: Large,No,25926066.0,3478.0,6566190.00 ,3860.00 ,18054,0,865,2,85302,Glendale,Maricopa,6491.0,1175.0,0,0,0,0,0.0,17932.75,,,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Public,AZ,Primarily online,17942.0,2828,33.5694333,-112.19082709999999,Glendale Community College ,"6000 W Olive Ave, Glendale, Arizona 85302",Suburb: Large,No,25926066.0,3478.0,6566190.00 ,3860.00 ,18054,0,865,2,85302,Glendale,Maricopa,6491.0,1175.0,0,0,0,0,0.0,17932.75,,,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Private,AZ,Fully in person,78.0,2828,33.2755209,-111.87977479999999,International Baptist College and Seminary,"2211 W Germann Road, Chandler, Arizona 85286",City: Large,Yes,368050.0,8179.0,20818.00 ,3470.00 ,47,27,18,4,85286,Chandler,Maricopa,0.0,0.0,0,0,0,0,11212.5,25126.0,7110.0,0.0,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Public,AZ,Primarily online,20387.0,2828,33.3895475,-111.8735409,Mesa Community College,"1833 W Southern Ave, Mesa, Arizona 85202",City: Large,No,25182642.0,3410.0,8829223.00 ,3732.00 ,20351,0,968,2,85202,Mesa,Maricopa,7866.0,2082.0,0,0,0,0,0.0,17932.75,,,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Public,AZ,Primarily online,8115.0,2828,33.6530638,-112.01072350000001,Paradise Valley Community College,"18401 N 32nd St, Phoenix, Arizona 85032",City: Large,No,7323751.0,3222.0,2586701.00 ,3563.00 ,7900,0,441,2,85032,Phoenix,Maricopa,7866.0,2082.0,0,0,0,0,0.0,17932.75,,,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Public,AZ,Primarily online,18304.0,2828,33.4133004,-111.9741695,Rio Salado College,"2323 W 14th St, Tempe, Arizona 85281",City: Midsize,No,7940394.0,2401.0,5686878.00 ,3789.00 ,19103,0,667,2,85281,Tempe,Maricopa,7866.0,2082.0,0,0,0,0,0.0,14153.5,,,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Public,AZ,Primarily online,8744.0,2828,33.5103714,-111.88271340000001,Scottsdale Community College,"9000 E Chaparral Rd, Scottsdale, Arizona 85256",Rural: Fringe,No,6716757.0,3248.0,3001413.00 ,3970.00 ,8602,0,445,2,85256,Scottsdale,Maricopa,7866.0,2082.0,0,0,0,0,0.0,17932.75,,,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Public,AZ,Primarily online,4075.0,2828,33.381761,-112.03223349999999,South Mountain Community College,"7050 S 24th St, Phoenix, Arizona 85042",City: Large,No,7132699.0,3298.0,1765686.00 ,4155.00 ,4321,0,238,2,85042,Phoenix,Maricopa,7866.0,2082.0,0,0,0,0,0.0,17932.75,,,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Public,AZ,Hybrid,44097.0,1633,32.2318851,-110.9501094,University of Arizona,"2149 W. Dunlap Avenue, Phoenix, Arizona 85021",City: Large,No,1430338.0,4146.0,5005493.00 ,9321.00 ,641,0,112,4,85021,Phoenix,Maricopa,0.0,0.0,0,0,0,0,19338.75,39583.75,,,0.45679712862800004,0.49126241540700005,41197.0,42818.0,43825.0,45667.0,47694.0,191251116.0,197556651.0,204282531.0,211308745.0,220789933.0,AZ,690,3972,9522,48710,114852,5,145,430,771,2011,124022,67.5%,"2,765","2,259"
Private,AR,TBD,525.0,1230,34.734920200000005,-92.2905167,Arkansas Baptist College,"1600 Dr. Martin Luther King Jr. Drive, Little Rock, Arkansas 72202-6068",City: Midsize,Yes,3032908.0,5777.0,2767326.00 ,6304.00 ,531,0,34,4,72202,Little Rock,Pulaski,0.0,0.0,0,0,0,0,8760.0,23060.0,,,0.566652718604,0.387895617772,45855.0,47398.0,47966.0,49129.0,51185.0,25861256.0,26416384.0,26975550.0,26639032.0,27208113.0,AR,99,518,876,2036,4654,3,17,34,58,76,5222,11.1%,"1,332",81
Private,AR,Other,648.0,1230,34.713277000000005,-92.40713199999999,Remington College -Little Rock ,"10600 Colonel Glenn Rd, Suite 100, Little Rock, Arkansas 72204",City: Midsize,No,207412.0,5318.0,292587.00 ,8606.00 ,21,0,6,2,72204,Little Rock,Pulaski,0.0,0.0,0,0,0,0,16258.0,29425.0,,,0.566652718604,0.387895617772,45855.0,47398.0,47966.0,49129.0,51185.0,25861256.0,26416384.0,26975550.0,26639032.0,27208113.0,AR,99,518,876,2036,4654,3,17,34,58,76,5222,11.1%,"1,332",81
Private,AR,TBD,39.0,1230,34.7129011,-92.3940147,Remington College -Little Rock ,"10600 Colonel Glenn Rd, Suite 100, Little Rock, Arkansas 72204",City: Midsize,No,207412.0,5318.0,292587.00 ,8606.00 ,21,0,6,2,72204,Little Rock,Pulaski,0.0,0.0,0,0,0,0,16258.0,29425.0,,,0.566652718604,0.387895617772,45855.0,47398.0,47966.0,49129.0,51185.0,25861256.0,26416384.0,26975550.0,26639032.0,27208113.0,AR,99,518,876,2036,4654,3,17,34,58,76,5222,11.1%,"1,332",81
Private,AR,TBD,1000.0,1230,34.737149200000005,-92.2829693,Philander Smith College,"900 W. Daisy Bates Drive, Little Rock, Arkansas 72202-3799",City: Midsize,Yes,10710920.0,11480.0,6139194.00 ,7487.00 ,996,0,96,4,72202,Little Rock,Pulaski,0.0,0.0,0,0,0,0,12789.0,25668.0,,,0.566652718604,0.387895617772,45855.0,47398.0,47966.0,49129.0,51185.0,25861256.0,26416384.0,26975550.0,26639032.0,27208113.0,AR,99,518,876,2036,4654,3,17,34,58,76,5222,11.1%,"1,332",81
Private,AR,TBD,569.0,1230,34.7592275,-92.2604236,Shorter College,"604 Locust St, N Little Rock, Arkansas 72114",City: Small,No,1437427.0,4506.0,1844476.00 ,6317.00 ,221,0,68,2,72114,North Little Rock,Pulaski,0.0,0.0,0,0,0,0,5226.0,21632.5,,,0.566652718604,0.387895617772,45855.0,47398.0,47966.0,49129.0,51185.0,25861256.0,26416384.0,26975550.0,26639032.0,27208113.0,AR,99,518,876,2036,4654,3,17,34,58,76,5222,11.1%,"1,332",81
Public,AR,Primarily in person,6557.0,1387,35.3826091,-94.37364709999999,University of Arkansas -Little Rock,"2801 S University Ave, Little Rock, Arkansas 72204",City: Midsize,Yes,35714602.0,8019.0,30628249.00 ,8524.00 ,7120,2461,619,4,72204,Little Rock,Pulaski,0.0,0.0,5760,13050,1834,1834,0.0,23679.25,,,0.566652718604,0.387895617772,45855.0,47398.0,47966.0,49129.0,51185.0,25861256.0,26416384.0,26975550.0,26639032.0,27208113.0,AR,99,518,876,2036,4654,3,17,34,58,76,5222,11.1%,"1,332",81
Public,AR,Hybrid,27778.0,2628,36.068689500000005,-94.1748471,University of Arkansas -Little Rock,"2801 S University Ave, Little Rock, Arkansas 72204",City: Midsize,Yes,35714602.0,8019.0,30628249.00 ,8524.00 ,7120,2461,619,4,72204,Little Rock,Pulaski,0.0,0.0,5760,13050,1834,1834,0.0,23679.25,,,0.566652718604,0.387895617772,45855.0,47398.0,47966.0,49129.0,51185.0,25861256.0,26416384.0,26975550.0,26639032.0,27208113.0,AR,99,518,876,2036,4654,3,17,34,58,76,5222,11.1%,"1,332",81
Public,AR,Hybrid,10515.0,1230,34.7240568,-92.3388872,University of Arkansas -Little Rock,"2801 S University Ave, Little Rock, Arkansas 72204",City: Midsize,Yes,35714602.0,8019.0,30628249.00 ,8524.00 ,7120,2461,619,4,72204,Little Rock,Pulaski,0.0,0.0,5760,13050,1834,1834,0.0,23679.25,,,0.566652718604,0.387895617772,45855.0,47398.0,47966.0,49129.0,51185.0,25861256.0,26416384.0,26975550.0,26639032.0,27208113.0,AR,99,518,876,2036,4654,3,17,34,58,76,5222,11.1%,"1,332",81
Public,AR,Hybrid,3111.0,876,33.59175820000001,-91.8135589,University of Arkansas -Little Rock,"2801 S University Ave, Little Rock, Arkansas 72204",City: Midsize,Yes,35714602.0,8019.0,30628249.00 ,8524.00 ,7120,2461,619,4,72204,Little Rock,Pulaski,0.0,0.0,5760,13050,1834,1834,0.0,23679.25,,,0.566652718604,0.387895617772,45855.0,47398.0,47966.0,49129.0,51185.0,25861256.0,26416384.0,26975550.0,26639032.0,27208113.0,AR,99,518,876,2036,4654,3,17,34,58,76,5222,11.1%,"1,332",81
Public,AR,Primarily online,2579.0,1927,34.2468716,-92.0213392,University of Arkansas -Little Rock,"2801 S University Ave, Little Rock, Arkansas 72204",City: Midsize,Yes,35714602.0,8019.0,30628249.00 ,8524.00 ,7120,2461,619,4,72204,Little Rock,Pulaski,0.0,0.0,5760,13050,1834,1834,0.0,23679.25,,,0.566652718604,0.387895617772,45855.0,47398.0,47966.0,49129.0,51185.0,25861256.0,26416384.0,26975550.0,26639032.0,27208113.0,AR,99,518,876,2036,4654,3,17,34,58,76,5222,11.1%,"1,332",81
Public,AR,TBD,4531.0,1230,34.78212980000001,-92.2993636,University of Arkansas-Pulaski Technical College,"3000 W Scenic Dr, North Little Rock, Arkansas 72118-3347",City: Small,No,14777062.0,4252.0,9857761.00 ,4170.00 ,5531,0,362,2,72118,North Little Rock,Pulaski,6459.5,5275.75,0,0,0,0,0.0,21445.5,,,0.566652718604,0.387895617772,45855.0,47398.0,47966.0,49129.0,51185.0,25861256.0,26416384.0,26975550.0,26639032.0,27208113.0,AR,99,518,876,2036,4654,3,17,34,58,76,5222,11.1%,"1,332",81
Public,AR,Hybrid,1422.0,1809,35.8986758,-89.91882799999998,Arkansas Northeastern College,"2501 S Division, Blytheville, Arkansas 72316-1109",Rural: Fringe,No,4318397.0,3430.0,0.00 ,_,1562,0,59,2,72316,Blytheville,Mississippi,3970.0,2570.0,0,0,0,0,0.0,15692.5,,,0.43255098114699997,0.537745286649,28742.0,28844.0,28609.0,29581.0,31428.0,2016009.0,2006432.0,2165446.0,2086796.0,2205413.0,AR,0,19,75,168,648,0,0,2,3,8,914,1.9%,"2,248",<20
Public,AR,Hybrid,1422.0,1809,35.8986758,-89.91882799999998,Arkansas Northeastern College,"2501 S Division, Blytheville, Arkansas 72316-1109",Rural: Fringe,No,4318397.0,3430.0,0.00 ,_,1562,0,59,2,72316,Blytheville,Mississippi,3970.0,2570.0,0,0,0,0,0.0,15692.5,,,0.43255098114699997,0.537745286649,28742.0,28844.0,28609.0,29581.0,31428.0,2016009.0,2006432.0,2165446.0,2086796.0,2205413.0,AR,0,19,75,168,648,0,0,2,3,8,914,1.9%,"2,248",<20
Public,AR,Primarily online,1812.0,456,36.2212874,-93.088548,North Arkansas College,"2501 S Division, Blytheville, Arkansas 72316-1109",Rural: Fringe,No,4318397.0,3430.0,0.00 ,_,1562,0,59,2,72316,Blytheville,Mississippi,3970.0,2570.0,0,0,0,0,0.0,15692.5,,,0.43255098114699997,0.537745286649,28742.0,28844.0,28609.0,29581.0,31428.0,2016009.0,2006432.0,2165446.0,2086796.0,2205413.0,AR,0,19,75,168,648,0,0,2,3,8,914,1.9%,"2,248",<20
Public,AR,Primarily online,1812.0,456,36.2212874,-93.088548,North Arkansas College,"2501 S Division, Blytheville, Arkansas 72316-1109",Rural: Fringe,No,4318397.0,3430.0,0.00 ,_,1562,0,59,2,72316,Blytheville,Mississippi,3970.0,2570.0,0,0,0,0,0.0,15692.5,,,0.43255098114699997,0.537745286649,28742.0,28844.0,28609.0,29581.0,31428.0,2016009.0,2006432.0,2165446.0,2086796.0,2205413.0,AR,0,19,75,168,648,0,0,2,3,8,914,1.9%,"2,248",<20
Public,AR,Hybrid,3446.0,333,35.0729706,-91.89623359999999,Arkansas State University -Beebe,"1000 Iowa Street, Beebe, Arkansas 72012-1000",Town: Fringe,Yes,8123555.0,4333.0,2587329.00 ,5313.00 ,3317,0,190,2,72012,Beebe,White,5143.5,3214.5,0,0,0,0,0.0,14523.0,,,0.18786200867,0.7663837382969999,32157.0,32640.0,33214.0,34232.0,35445.0,2448895.0,2425197.0,2350710.0,2296231.0,2272114.0,AR,9,34,44,86,243,0,1,1,1,2,289,0.6%,367,<20
Private,AR,Hybrid,5121.0,333,35.245152000000004,-91.7235465,Harding University,"915 E. Market Ave., Searcy, Arkansas 72149-5615",Town: Distant,Yes,33787967.0,10077.0,14224337.00 ,6966.00 ,3779,1100,415,4,72149,Searcy,White,0.0,0.0,0,0,0,0,19650.0,30393.5,13372.0,520.0,0.18786200867,0.7663837382969999,32157.0,32640.0,33214.0,34232.0,35445.0,2448895.0,2425197.0,2350710.0,2296231.0,2272114.0,AR,9,34,44,86,243,0,1,1,1,2,289,0.6%,367,<20
Public,AR,Primarily online,13709.0,1060,35.8430861,-90.6748589,Arkansas State University -Jonesboro,"2105 E. Aggie Road, Jonesboro, Arkansas 72401",City: Small,Yes,66966924.0,9534.0,33417709.00 ,7150.00 ,8928,4428,740,4,72401,Jonesboro,Craighead,15048.75,8546.25,4986,9972,1436,1436,0.0,22995.75,,,0.299530999771,0.651967513155,34415.0,35271.0,35490.0,36323.0,37531.0,3751366.0,3821826.0,3860116.0,3922075.0,4031319.0,AR,8,74,212,451,1062,0,0,0,6,11,1264,2.7%,"1,146",<20
Public,AR,Primarily online,1345.0,148,36.320418100000005,-92.3885758,Arkansas State University -Mountain Home,"1600 South College Street, Mountain Home, Arkansas 72653",Rural: Fringe,No,4658372.0,4026.0,1606543.00 ,6062.00 ,1325,0,83,2,72653,Mountain Home,Baxter,4434.0,2844.0,0,0,0,0,0.0,21508.0,,,0.21270181892499998,0.7487737584299999,33821.0,34301.0,34516.0,35617.0,37106.0,1109393.0,1101296.0,1094691.0,1102545.0,1131278.0,AR,2,5,11,20,61,0,0,0,0,0,68,0.1%,162,0
Public,AR,Primarily online,1423.0,2475,35.1454262,-90.2228606,Arkansas State University Mid-South,"2000 W. Broadway, West Memphis, Arkansas 72301-3829",Suburb: Large,No,3169854.0,5494.0,0.00 ,_,1330,0,103,2,72301,West Memphis,Crittenden,3739.5,3019.5,0,0,0,0,0.0,18256.5,,,0.5296873021899999,0.440119002405,33391.0,33913.0,34692.0,35726.0,36978.0,1523936.0,1493676.0,1464223.0,1483554.0,1481505.0,AR,17,187,367,746,1135,0,5,9,12,17,1315,2.8%,"2,742",20
Public,AR,TBD,2270.0,337,35.640144799999995,-91.1903328,Arkansas State University-Newport,"7648 Victory Blvd, Newport, Arkansas 72112",Rural: Distant,No,5474638.0,4491.0,1986650.00 ,5369.00 ,2269,0,158,2,72112,Newport,Jackson,4214.5,2780.5,0,0,0,0,0.0,19080.0,,,0.310818770862,0.640486942863,34603.0,33263.0,33639.0,34236.0,35880.0,575558.0,528349.0,533677.0,520962.0,528213.0,AR,0,1,1,27,56,0,0,0,0,1,63,0.1%,377,<20
Private,TX,TBD,170.0,1407,32.736613500000004,-97.1570876,Arlington Baptist University,"3001 W Division, Arlington, Texas 76012-3425",City: Large,Yes,688956.0,5341.0,931667.00 ,7167.00 ,145,4,28,4,76012,Arlington,Tarrant,0.0,0.0,0,0,0,0,13290.0,24212.25,7650.0,620.0,0.434500748304,0.521524307819,47640.0,47522.0,46461.0,48892.0,51239.0,98440477.0,101178408.0,102172994.0,104650547.0,108786197.0,TX,139,2246,5463,12344,27823,1,68,165,228,363,29054,6.5%,"1,382",386
Private,TX,Hybrid,660.0,1407,32.9396261,-97.1213015,King's University,"2121 E. Southlake Boulevard, Southlake, Texas 76092",Suburb: Large,No,1186345.0,4410.0,1582273.00 ,8032.00 ,316,294,70,4,76092,Southlake,Tarrant,0.0,0.0,0,0,0,0,14625.0,33791.5,8820.0,810.0,0.434500748304,0.521524307819,47640.0,47522.0,46461.0,48892.0,51239.0,98440477.0,101178408.0,102172994.0,104650547.0,108786197.0,TX,139,2246,5463,12344,27823,1,68,165,228,363,29054,6.5%,"1,382",386
Private,TX,Hybrid,45.0,1407,32.8512244,-97.1602396,Messenger College,"2701 Brown Trail, Suite 408, Bedford, Texas 76021-4202",Suburb: Large,Yes,242709.0,5779.0,338454.00 ,8461.00 ,46,0,10,4,76021,Bedford,Tarrant,0.0,0.0,0,0,0,0,9150.0,22283.5,,,0.434500748304,0.521524307819,47640.0,47522.0,46461.0,48892.0,51239.0,98440477.0,101178408.0,102172994.0,104650547.0,108786197.0,TX,139,2246,5463,12344,27823,1,68,165,228,363,29054,6.5%,"1,382",386
Private,TX,TBD,474.0,1407,32.776167,-97.213675,Remington College -Fort Worth,"300 E. Loop 820, Fort Worth, Texas 76112-1225",City: Large,No,1484000.0,4741.0,2160996.00 ,7916.00 ,463,0,38,4,76112,Fort Worth,Tarrant,0.0,0.0,0,0,0,0,15234.0,28800.0,,,0.434500748304,0.521524307819,47640.0,47522.0,46461.0,48892.0,51239.0,98440477.0,101178408.0,102172994.0,104650547.0,108786197.0,TX,139,2246,5463,12344,27823,1,68,165,228,363,29054,6.5%,"1,382",386
Public,TX,Primarily online,51100.0,1407,32.747466100000004,-97.3278753,Tarrant County College District,"1500 Houston St, Fort Worth, Texas 76102-6524",City: Large,No,70901788.0,4023.0,24048932.00 ,3022.00 ,50519,0,2137,2,76102,Fort Worth,Tarrant,7200.0,2985.0,0,0,0,0,0.0,16848.25,,,0.434500748304,0.521524307819,47640.0,47522.0,46461.0,48892.0,51239.0,98440477.0,101178408.0,102172994.0,104650547.0,108786197.0,TX,139,2246,5463,12344,27823,1,68,165,228,363,29054,6.5%,"1,382",386
Private,TX,Hybrid,10918.0,1407,32.7095936,-97.36356020000001,Texas Christian University,"2800 S University Dr, Fort Worth, Texas 76129",City: Large,Yes,174691196.0,25946.0,18254244.00 ,6733.00 ,9474,1550,1070,4,76129,Fort Worth,Tarrant,0.0,0.0,0,0,0,0,45907.5,64372.0,30780.0,48.0,0.434500748304,0.521524307819,47640.0,47522.0,46461.0,48892.0,51239.0,98440477.0,101178408.0,102172994.0,104650547.0,108786197.0,TX,139,2246,5463,12344,27823,1,68,165,228,363,29054,6.5%,"1,382",386
Private,TX,Hybrid,2236.0,1407,32.7323764,-97.280207,Texas Wesleyan University,"1201 Wesleyan St, Fort Worth, Texas 76105-1536",City: Large,Yes,25818231.0,18970.0,8056937.00 ,9272.00 ,1494,782,323,4,76105,Fort Worth,Tarrant,0.0,0.0,0,0,0,0,29370.5,45058.0,14173.0,2413.0,0.434500748304,0.521524307819,47640.0,47522.0,46461.0,48892.0,51239.0,98440477.0,101178408.0,102172994.0,104650547.0,108786197.0,TX,139,2246,5463,12344,27823,1,68,165,228,363,29054,6.5%,"1,382",386
Private,OH,Primarily in person,201.0,1122,39.1088559,-84.5138767,Art Academy of Cincinnati,"1212 Jackson Street, Cincinnati, Ohio 45202-1706",City: Large,Yes,3119380.0,16247.0,1156508.00 ,7095.00 ,212,7,64,4,45202,Cincinnati,Hamilton,0.0,0.0,0,0,0,0,32206.75,45731.75,10945.0,0.0,0.525536708861,0.43030886075900004,51996.0,53485.0,54700.0,56795.0,59561.0,63514374.0,64157236.0,65651526.0,66604173.0,66977577.0,OH,101,1218,2642,5010,8872,0,71,148,198,241,9160,9.7%,"1,121",248
