state,county,trump_percent,clinton_percent
Alabama,Autauga,0.7276658791494814,0.2376967124494454
Alabama,Baldwin,0.765457123352413,0.193856010082445
Alabama,Barbour,0.5209666634826631,0.46527844111185407
Alabama,Bibb,0.7640322031976414,0.21249574781721284
Alabama,Blount,0.8933484445833985,0.08425824605283727
Alabama,Bullock,0.24203821656050956,0.7494692144373672
Alabama,Butler,0.5612688960146587,0.4267063673843335
Alabama,Calhoun,0.6866329600534848,0.2766588667892362
Alabama,Chambers,0.5642446043165468,0.41611510791366907
Alabama,Cherokee,0.8341563402590143,0.14413491102208142
Alabama,Chilton,0.8210027764167892,0.15847351516141325
Alabama,Choctaw,0.5630828304991772,0.4263576522216127
Alabama,Clarke,0.5479241807996317,0.4411787276494513
Alabama,Clay,0.7918176328502415,0.1867451690821256
Alabama,Cleburne,0.8742605794023964,0.1037463976945245
Alabama,Coffee,0.7644339577213849,0.20325516444358838
Alabama,Colbert,0.6721252257676099,0.2934778246036524
Alabama,Conecuh,0.5193621867881549,0.4677296886864085
Alabama,Coosa,0.6437547600913938,0.3392993145468393
Alabama,Covington,0.8323086574654956,0.14974905897114177
Alabama,Crenshaw,0.720121270145205,0.2655177916068294
Alabama,Cullman,0.8710426953238455,0.10028252316954031
Alabama,Dale,0.7364659448503921,0.23537255320283748
Alabama,Dallas,0.308056619838229,0.6830566198382291
Alabama,DeKalb,0.8288159219391311,0.1402462634554325
Alabama,Elmore,0.7416532474503489,0.22659688674181427
Alabama,Escambia,0.6692489053553385,0.3102054563826204
Alabama,Etowah,0.7325649850557014,0.2364369169459288
Alabama,Fayette,0.813674384773912,0.165110922536065
Alabama,Franklin,0.7862126245847176,0.18247508305647842
Alabama,Geneva,0.8499744854567103,0.12969892838918184
Alabama,Greene,0.17172131147540984,0.8223360655737705
Alabama,Hale,0.39465174129353237,0.5939054726368159
Alabama,Henry,0.6977205153617443,0.2839444995044599
Alabama,Houston,0.7206547995966134,0.25009967400736416
Alabama,Jackson,0.79451010293557,0.17503812428516966
Alabama,Jefferson,0.4430374337176314,0.5157055928676391
Alabama,Lamar,0.8359173126614987,0.14872236577662934
Alabama,Lauderdale,0.7058570524984187,0.25179000632511067
Alabama,Lawrence,0.730528019421404,0.24458830669633824
Alabama,Lee,0.5848355324289165,0.35866939230626277
Alabama,Limestone,0.7213729091179828,0.23497294882612796
Alabama,Lowndes,0.26196888090963494,0.7305505685218432
Alabama,Macon,0.15656455142231948,0.8277899343544858
Alabama,Madison,0.5478949011255347,0.38449344815134434
Alabama,Marengo,0.47598690194651627,0.5107331271602692
