2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,county,state,2014_pi,2015_pi,2016_pi,2017_pi,2018_pi
1724960,1599742,1525804,1559653,1542134,Wise + Norton, VA*,1334350,1350018,1312806,1342539,1384856
2336037,2331257,2254327,2251861,2332335,York + Poquoson, VA*,4216349,4339310,4398149,4519462,4731142
847124,927096,880151,925453,925815,Adams, WA,752238,846932,790028,832782,845694
574892,603609,614641,650999,682975,Asotin, WA,895920,927168,973902,1020055,1065013
9110131,9610089,9964735,10163070,10378129,Benton, WA,7778521,8477885,8757495,9135505,9582003
3662434,3826394,3939113,4114511,4177800,Chelan, WA,3345147,3585119,3804874,4011617,4218701
2249025,2234974,2230301,2296722,2375614,Clallam, WA,2936304,3039820,3164011,3334707,3539082
15589272,15927492,16499639,17438856,18366219,Clark, WA,20001901,21334733,22657050,24088055,25742325
334343,394024,406114,439302,433777,Columbia, WA,169915,191991,184184,189127,203245
4216575,4251502,4234614,4351020,4511489,Cowlitz, WA,4060481,4238204,4384597,4601607,4903274
1532470,1688892,1743681,1822594,1799803,Douglas, WA,1400228,1503801,1576647,1688787,1780999
196489,200034,198653,196334,193326,Ferry, WA,252594,261982,267860,273444,275906
3090192,3313166,3384442,3418623,3557186,Franklin, WA,2880734,3122084,3199721,3377523,3527604
139072,140975,141318,134746,145430,Garfield, WA,89374,96492,89368,94062,100013
4837223,5326784,5513180,5616221,5472287,Grant, WA,3228258,3586585,3623592,3783796,3872693
2293441,2343947,2325863,2419428,2464139,Grays Harbor, WA,2479931,2553368,2669080,2825362,2987779
2517432,2550445,2626389,2697664,2779987,Island, WA,3781403,3978066,4138109,4369073,4706470
844519,859913,876162,930558,957283,Jefferson, WA,1329819,1403140,1462326,1562347,1668297
220596448,232148577,241900372,257453872,277122158,King, WA,151515304,161877609,172768856,186349730,201962200
9986462,10240128,10651098,11035875,11512963,Kitsap, WA,12095848,12658888,13300432,14082667,15174970
1387145,1433210,1511912,1567079,1635688,Kittitas, WA,1582159,1661708,1786772,1897693,2017835
945273,1063666,1097871,1141146,1158803,Klickitat, WA,849889,894835,935418,1015626,1075599
2917723,3035286,3089665,3358472,3403303,Lewis, WA,2778331,2930375,3037360,3215239,3459026
463533,496262,487238,476369,481953,Lincoln, WA,435441,484067,454797,478866,497395
1402663,1390049,1403255,1443303,1497857,Mason, WA,2216125,2305655,2436769,2598912,2801530
1198747,1329896,1405345,1426815,1408006,Okanogan, WA,1507865,1613443,1686635,1739345,1789006
675887,664850,672048,680815,698095,Pacific, WA,772342,798202,841280,876222,919777
548125,550221,581329,582182,605133,Pend Oreille, WA,454971,480029,508565,534621,566710
34793727,35627420,36441699,38099158,39615989,Pierce, WA,36560068,38528404,40689898,43103444,46449056
593546,601531,621278,642382,667122,San Juan, WA,1075534,1140241,1172843,1218624,1314561
5747844,6335658,6596820,7122050,7469437,Skagit, WA,5326152,5635608,5922007,6316247,6802660
275710,267194,272705,284778,275727,Skamania, WA,435939,455932,492508,513389,546139
35562555,36567210,36772962,37326140,39010008,Snohomish, WA,35519915,37387051,39655404,42121895,45542887
20839993,21170521,21689644,22492788,23475758,Spokane, WA,19330611,20371347,21324305,22540287,23912933
1021685,1042521,1046390,1066041,1110691,Stevens, WA,1509619,1557169,1624090,1688961,1788017
10867469,10799020,11279626,11737238,12398258,Thurston, WA,11713939,12270162,12954671,13683817,14803331
95954,97635,96746,99915,104637,Wahkiakum, WA,149793,157777,167144,175125,187762
2709592,2807891,2908170,2995360,3068776,Walla Walla, WA,2347270,2498797,2551858,2679511,2811189
10049533,11419854,12196675,13306016,13515737,Whatcom, WA,8778667,9323460,9764936,10355271,11011627
2063052,2187776,2233525,2391017,2549592,Whitman, WA,1638822,1755377,1775886,1902567,2038171
9001942,8923543,9340102,9618897,9883248,Yakima, WA,9349699,9754394,10058786,10482682,10907560
374812,386089,370812,392656,388785,Barbour, WV,488399,489405,488031,501270,533919
2773163,2776287,2826002,3026375,3093871,Berkeley, WV,3997658,4178482,4364933,4563104,4825605
1090492,863515,676301,660137,663228,Boone, WV,726805,717113,687978,708615,737368
284446,294995,287681,280564,280470,Braxton, WV,426167,437082,423240,425931,445123
1012500,864081,804058,859569,860118,Brooke, WV,860652,881475,855950,889684,926753
4352854,4342630,4338473,4298920,4388563,Cabell, WV,3640925,3717665,3691167,3794008,4002931
136370,119625,112183,115385,117746,Calhoun, WV,221819,208019,198394,207443,218745
128044,126967,118219,114741,108654,Clay, WV,256475,257633,249235,255090,266948
776715,1273491,1237007,1475859,1360515,Doddridge, WV,216773,216310,214502,228055,242615
1042176,999066,958829,986998,996404,Fayette, WV,1401941,1423976,1389897,1426724,1487424
215219,222655,194230,189395,181263,Gilmer, WV,227731,229144,216096,225391,232091
482261,476701,488678,437365,416912,Grant, WV,395077,392392,411072,421510,426564
1084745,1058789,1000850,1021714,1043661,Greenbrier, WV,1217970,1276747,1241421,1278996,1325294
