2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,county,state,2014_pi,2015_pi,2016_pi,2017_pi,2018_pi
1406262,1518409,1526310,1422078,1483414,Autauga, AL,2013920,2124760,2185415,2242663,2314018
5178584,5345363,5496105,5525882,5774289,Baldwin, AL,7888869,8413951,8912390,9352917,9940939
742751,756590,742810,745625,787425,Barbour, AL,800596,824607,815751,831418,875795
368995,358372,357831,353859,364197,Bibb, AL,636890,652192,650169,655927,677683
820346,824934,783480,813934,849114,Blount, AL,1807033,1846055,1862941,1939121,2022984
221551,224849,246072,233531,244183,Bullock, AL,267551,274133,276702,279251,291939
562054,570113,554471,554848,570686,Butler, AL,668506,675558,670999,691108,717336
3881163,3810823,3862408,3861148,3950436,Calhoun, AL,3840835,3949207,3999593,4095935,4241974
1516561,1793988,1953597,1938158,1941217,Chambers, AL,1037650,1071424,1096561,1099929,1138173
494782,484118,457675,461223,498013,Cherokee, AL,820781,852789,846134,873882,924269
802649,799902,798726,806179,837887,Chilton, AL,1339920,1391518,1413607,1474216,1536453
549797,531136,526604,505034,547773,Choctaw, AL,467475,467349,465536,473462,504400
794943,806072,793755,771341,784519,Clarke, AL,810869,832081,838477,838026,869748
306189,320213,315873,323580,339246,Clay, AL,395710,414747,417180,427972,445106
296770,304126,295526,284999,294019,Cleburne, AL,489491,498846,500661,519659,541914
1256392,1349456,1375548,1410365,1470262,Coffee, AL,1937969,2020939,2065547,2136728,2236962
2770932,2814138,2778239,2708633,2755838,Colbert, AL,1896477,1941901,1972898,2020829,2101658
457751,466177,464317,456696,449646,Conecuh, AL,368434,381688,378883,388799,400917
162822,164838,168598,167226,177103,Coosa, AL,296899,307095,315833,321919,335679
1118312,1126948,1120631,1134066,1146899,Covington, AL,1195656,1219220,1234126,1275235,1318591
412119,427983,403588,403510,408219,Crenshaw, AL,473963,500305,478992,496545,506575
2408628,2479048,2473561,2491025,2548547,Cullman, AL,2849055,3013483,3021906,3160867,3304856
2453315,2405727,2423899,2459148,2505314,Dale, AL,1665214,1687609,1700472,1733756,1792406
1204486,1186330,1196803,1156152,1174931,Dallas, AL,1278025,1315434,1341226,1345036,1380143
1711271,1728455,1621227,1688189,1768414,DeKalb, AL,2051997,2122280,2093610,2190846,2278326
1575546,1614849,1639742,1653310,1694188,Elmore, AL,2954023,3114264,3216987,3335318,3461288
1175195,1152718,1162771,1163160,1172006,Escambia, AL,1123303,1142742,1139800,1170670,1212524
2725594,2741934,2742949,2746645,2803470,Etowah, AL,3400440,3509989,3578317,3658631,3784122
336051,334480,325660,327225,331837,Fayette, AL,515558,537859,538576,551743,574598
815764,829741,802754,849068,886031,Franklin, AL,948231,984565,979370,1024197,1076308
478547,505054,513876,496140,519624,Geneva, AL,824419,862033,864334,890968,926048
281552,255456,245437,225323,235854,Greene, AL,247549,257503,260745,261086,266413
266928,280598,291003,285818,280041,Hale, AL,487185,513031,517740,526591,538747
308473,312287,308340,320602,327713,Henry, AL,598144,618937,643291,664858,694551
4212494,4190752,4221379,4238912,4349489,Houston, AL,3907550,4031761,4113181,4241903,4440041
1527758,1420121,1317412,1300797,1319359,Jackson, AL,1733797,1760751,1779931,1821909,1891824
39020527,39503092,39475772,40567288,41774355,Jefferson, AL,30900717,32337589,32734578,34380771,36083710
296869,291779,288955,289482,296054,Lamar, AL,424513,437636,443753,448055,463715
2479646,2445200,2402567,2395624,2467086,Lauderdale, AL,3172624,3237534,3254675,3293697,3432307
692003,556342,518065,517319,563208,Lawrence, AL,1072412,1046260,1034506,1078190,1124670
5020315,5457975,5702179,5897678,6013577,Lee, AL,5131261,5367786,5685384,5889666,6235716
3054617,3149394,3223504,3286233,3288507,Limestone, AL,3345358,3486666,3630247,3842498,4091850
435293,414680,410956,415054,413334,Lowndes, AL,386498,400777,379872,394169,388901
453815,437082,437693,427667,437305,Macon, AL,565868,573072,582742,590135,606992
19569526,19888881,20314558,20825274,21707550,Madison, AL,15837011,16567253,17136648,17778770,18855557
682733,673931,678430,650660,657507,Marengo, AL,705026,714813,715253,725200,758837
762205,779032,759279,773143,804250,Marion, AL,888594,911751,912653,946936,990034
2804226,2830730,2864795,2943251,3061736,Marshall, AL,3060718,3184140,3205643,3306085,3464181
17664949,17548197,17901624,17642633,17882906,Mobile, AL,14369961,14906046,14968213,15244822,15823146
590640,611360,610770,610310,618262,Monroe, AL,645780,677095,673468,675703,704827
12063870,12294898,12473078,12457671,12633330,Montgomery, AL,8888014,9217546,9398089,9585165,9863168
4606569,4665658,4808714,4827146,4980085,Morgan, AL,4265035,4363267,4422422,4549210,4762462
208989,203560,198292,191859,183432,Perry, AL,265730,273661,276598,281184,279092
405981,407990,399004,389315,390766,Pickens, AL,620344,628007,617642,630335,648993
1247401,1305018,1327688,1315469,1309102,Pike, AL,1107695,1154815,1167931,1208338,1245466
431378,438364,415983,418763,427804,Randolph, AL,673311,699079,681276,708670,736531
1360235,1417799,1437492,1427776,1472862,Russell, AL,1725545,1789509,1786993,1846775,1912764
1677557,1666235,1694102,1718514,1764952,St. Clair, AL,2918054,3032645,3123178,3254471,3420651
8828571,9434367,9427502,9929586,10317323,Shelby, AL,9927303,10487462,10708944,11082252,11727854
349841,353400,359431,335668,326706,Sumter, AL,401861,402028,400220,401952,401843
2845808,2820169,2795690,2745857,2840194,Talladega, AL,2518159,2566637,2614146,2663286,2771470
1156405,1189686,1222578,1146322,1186139,Tallapoosa, AL,1443277,1517205,1549964,1576979,1648072
8908643,8593630,8509273,8775197,9042556,Tuscaloosa, AL,7182561,7357882,7467557,7717938,8110371
1805542,1942586,1871326,1942619,2058416,Walker, AL,2358711,2422259,2390211,2460330,2560998
824443,727863,778980,775076,799290,Washington, AL,560579,571415,570905,576673,594905
366044,372273,379381,373667,378418,Wilcox, AL,314165,322184,328213,331307,342345
613138,629762,623036,650751,667455,Winston, AL,741100,757810,764869,799706,838275
137577,181353,194592,201690,201612,Aleutians East Borough, AK*,135783,168645,193980,203444,199215
379178,371005,367795,347146,353175,Aleutians West Census Area, AK*,305486,303831,315111,301733,311245
20090732,20856627,20413792,19985366,20329942,Anchorage Municipality, AK,18423042,19018588,18478395,18589578,19390315
615715,611875,606090,608355,625190,Bethel Census Area, AK*,712066,729248,741812,761735,792397
120360,113052,116004,114238,130341,Bristol Bay Borough, AK,110407,99925,108283,109529,125915
250732,243176,233441,234794,237263,Denali Borough, AK*,150613,152009,155194,162564,170730
248871,249674,243808,242542,248432,Dillingham Census Area, AK*,270324,273963,275690,286436,298104
5596635,5599363,5572193,5582087,5654089,Fairbanks North Star Borough, AK,5179090,5358213,5316375,5382588,5602350
89945,93788,91604,95983,98959,Haines Borough, AK,135449,147361,145109,157319,165904
75422,85838,81045,81947,83216,Hoonah-Angoon Census Area, AK*,116448,120951,116749,126793,132828
2315389,2221936,2237416,2294784,2298214,Juneau City and Borough, AK,2038641,2068524,2066433,2109095,2188326
2903473,2901418,2833117,2788536,2808539,Kenai Peninsula Borough, AK,2905082,2980054,2895945,2908339,3044611
816635,818853,797981,791585,800724,Ketchikan Gateway Borough, AK*,866308,892543,880839,904811,940891
757383,767476,713809,711871,715043,Kodiak Island Borough, AK,803844,841392,792983,826782,853258
150106,145175,146585,142129,144996,Kusilvak Census Area, AK*,240161,235808,245048,245567,249909
82176,79081,76957,84208,88124,Lake and Peninsula Borough, AK*,88228,89670,87107,98379,103812
2197992,2288760,2260538,2207986,2266408,Matanuska-Susitna Borough, AK,4474367,4743687,4637103,4685397,4938943
406581,412660,380519,392868,396694,Nome Census Area, AK*,462723,476799,478136,493599,514193
11403189,11130682,10567213,11231169,10469543,North Slope Borough, AK,947867,973399,867635,829148,824200
642301,577594,591812,680814,696765,Northwest Arctic Borough, AK,334793,337657,337438,348437,367086
172825,195546,185565,175901,172178,Petersburg Borough, AK*,211365,217110,209376,217384,225454
215268,222437,229481,222055,219255,Prince of Wales-Hyder Census Area, AK*,249182,259453,259557,268177,280687
(NA),(NA),(NA),(NA),(NA),Prince of Wales-Outer Ketchikan Census Area, AK*,(NA),(NA),(NA),(NA),(NA)
488399,474614,430768,429859,443526,Sitka City and Borough, AK,584760,599428,555495,588660,622344
89032,89024,95080,95733,95346,Skagway Municipality, AK*,85830,79486,84628,89224,93529
(NA),(NA),(NA),(NA),(NA),Skagway-Hoonah-Angoon Census Area, AK*,(NA),(NA),(NA),(NA),(NA)
614490,558749,594212,640754,637943,Southeast Fairbanks Census Area, AK*,313206,323125,319850,326689,341737
2119904,2174869,2157680,2173189,2331614,Valdez-Cordova Census Area, AK*,530308,546883,534002,551006,570984
86131,96477,100629,92788,94120,Wrangell City and Borough, AK*,113936,117187,112436,112901,119288
(NA),(NA),(NA),(NA),(NA),Wrangell-Petersburg Census Area, AK*,(NA),(NA),(NA),(NA),(NA)
40545,34590,28345,27057,28420,Yakutat City and Borough, AK*,42680,38693,33351,33860,35598
245613,247510,260813,258303,273529,Yukon-Koyukuk Census Area, AK*,278412,276268,292144,296101,314347
2515879,2502406,2509130,2544096,2619469,Apache, AZ,2111856,2188941,2243284,2367670,2467333
4202419,4205478,4315749,4259736,4404134,Cochise, AZ,4562024,4657515,4732071,4895203,5109813
6202742,6251840,6396139,6753461,6770442,Coconino, AZ,5591240,5939925,6221853,6584279,6875489
2057898,1975267,1895553,1979124,1985337,Gila, AZ,1819861,1894855,1937812,2065993,2169933
835859,838174,971213,1024616,1097980,Graham, AZ,1111032,1120106,1114267,1133768,1202949
1902764,1603588,1447670,1764250,1771158,Greenlee, AZ,340066,329544,327089,346771,377942
191251116,197556651,204282531,211308745,220789933,Maricopa, AZ,168723234,178765906,186631841,197718381,210370180
4687175,4700479,4841032,4900560,5068013,Mohave, AZ,5788759,6010068,6224478,6574242,6946164
3253457,3277796,3227185,3380361,3535546,Navajo, AZ,2970400,3071106,3220583,3384319,3552491
36221971,36108903,37134412,38636977,40011352,Pima, AZ,38208369,39405343,40607735,43291870,45748033
6688399,6467645,6590811,6571381,6936698,Pinal, AZ,10683004,11272951,11909274,12784950,13701923
1525809,1538667,1544234,1620780,1701223,Santa Cruz, AZ,1546558,1565804,1618408,1743936,1816567
5713227,5837276,6038037,6263132,6481866,Yavapai, AZ,7448645,7840057,8200091,8753027,9352066
988610,1004316,1064308,1011497,1028895,Arkansas, AR,763613,749701,793930,782809,804751
951420,893843,910844,896476,907876,Ashley, AR,647169,665512,672036,673612,697864
1109393,1101296,1094691,1102545,1131278,Baxter, AR,1382731,1411023,1419942,1471558,1544321
11452652,11874454,12095992,12846262,13245065,Benton, AR,18192850,19844978,21265196,22561813,24232084
1113702,1106264,1113842,1117118,1150136,Boone, AR,1199861,1233928,1245947,1284389,1352613
302282,321127,313284,323897,330283,Bradley, AR,379200,392626,397561,411720,430333
297880,314529,305565,326112,344894,Calhoun, AR,155541,164194,167793,171365,181667
775493,756728,723423,784947,788311,Carroll, AR,871469,850877,865048,924051,950841
260238,234007,253168,254641,244098,Chicot, AR,370382,355704,375005,378090,378831
734544,718661,723399,730698,734017,Clark, AR,717708,735361,750897,772356,801133
335345,299759,289400,313160,304763,Clay, AR,470094,455938,466485,500356,507010
1020608,1099560,1009797,982503,890222,Cleburne, AR,901465,907893,884492,920783,956340
151832,160765,156902,163377,169834,Cleveland, AR,297620,300530,298932,316033,323482
886196,883285,843077,831485,828515,Columbia, AR,854564,836477,827722,873479,912029
1141140,1154642,1085068,1025383,962556,Conway, AR,775941,764680,748686,766810,797855
3751366,3821826,3860116,3922075,4031319,Craighead, AR,3533064,3682915,3755862,3887944,4074323
1560681,1528602,1517580,1542213,1567342,Crawford, AR,1858044,1907340,1953013,2016013,2089386
1523936,1493676,1464223,1483554,1481505,Crittenden, AR,1655430,1664136,1711869,1740951,1787576
474919,437090,435801,439065,440941,Cross, AR,586228,557006,560566,582995,599481
196412,195291,194016,195576,192320,Dallas, AR,227035,232202,236465,243553,248822
492282,505433,536213,495296,498045,Desha, AR,422860,423398,427580,426860,435479
563324,570890,589264,571341,574589,Drew, AR,626901,619612,638337,655834,680852
3657885,3720455,3679979,3625171,3683719,Faulkner, AR,4126165,4228275,4327931,4494650,4692463
459220,485328,455437,471660,479936,Franklin, AR,566699,565020,562161,589029,610438
185543,199447,179951,180330,187790,Fulton, AR,318786,326394,326596,338011,355726
2890928,2937538,2942846,3003768,3051825,Garland, AR,3484440,3582997,3659705,3802782,3966534
370621,375292,372803,378549,390516,Grant, AR,616094,639226,654834,674536,694800
1290636,1316996,1283954,1315511,1342823,Greene, AR,1392285,1418662,1444738,1515565,1581614
870793,817269,818374,883781,877218,Hempstead, AR,656788,642421,645543,686375,706911
729255,823538,893297,873769,863609,Hot Spring, AR,930525,949183,962392,997436,1030587
588593,580517,569038,593606,597565,Howard, AR,443910,434170,437014,459992,470828
1713107,1489901,1572081,1582135,1670702,Independence, AR,1154029,1186206,1216803,1267477,1321983
289683,291945,280613,267905,273211,Izard, AR,375381,387112,387380,401839,416053
575558,528349,533677,520962,528213,Jackson, AR,608844,577811,581625,583967,603184
3118167,2917025,2935141,2931545,2917078,Jefferson, AR,2319585,2314059,2342797,2355577,2408222
682908,692708,688151,703176,698286,Johnson, AR,717449,723298,733260,758893,774711
187390,197146,201252,182376,174464,Lafayette, AR,244738,237990,238502,238109,242506
428625,377185,401118,419851,444009,Lawrence, AR,530163,509979,529612,554869,577268
193233,186225,178330,170645,178058,Lee, AR,254029,247233,243329,242162,248160
263595,263976,278624,250313,261122,Lincoln, AR,342388,339721,348594,349208,361370
449261,406071,396547,384516,378858,Little River, AR,399092,408442,411182,415480,420150
571738,628938,605629,614896,600829,Logan, AR,719720,708848,693567,729588,749719
1138786,1129147,1120170,1145735,1159033,Lonoke, AR,2537089,2582912,2655617,2734721,2855215
382703,407009,390283,405857,411807,Madison, AR,509924,523825,539841,589700,585011
421673,550764,486098,486441,494246,Marion, AR,450979,483272,472527,485847,514079
1116548,1116700,1094405,1075969,1102278,Miller, AR,1334733,1378307,1411399,1424141,1456005
2016009,2006432,2165446,2086796,2205413,Mississippi, AR,1271845,1260921,1226709,1244569,1296065
212166,192302,197137,194720,188860,Monroe, AR,233075,224852,226540,226442,225294
161263,166208,157184,155057,157162,Montgomery, AR,246887,249080,248947,265231,275166
259494,276505,270195,264549,272959,Nevada, AR,260432,269536,266498,274877,284583
103836,101767,97685,95467,96963,Newton, AR,206745,213946,213682,216652,224846
625789,622256,610952,605002,614610,Ouachita, AR,819565,825785,815188,834466,871227
137386,153683,142159,142145,141590,Perry, AR,325566,336292,334935,350696,361049
507977,480917,457899,444620,458421,Phillips, AR,592712,566890,550628,559676,561214
246231,245683,234545,240251,248289,Pike, AR,327202,331940,328951,340484,353415
548984,529275,528857,541014,555990,Poinsett, AR,713434,694718,707295,745844,774719
490446,500117,479843,490456,502922,Polk, AR,577955,572254,565490,591004,616517
2679122,2805696,2728238,2683755,2692810,Pope, AR,2017345,2087400,2108652,2162459,2256720
192710,158599,159145,164188,165493,Prairie, AR,281697,261021,268801,282215,290136
25861256,26416384,26975550,26639032,27208113,Pulaski, AR,18020470,18657989,18917078,19338099,20099504
378339,348243,367600,393806,415843,Randolph, AR,518970,495542,527714,569068,601014
698980,689420,670682,693463,687857,St. Francis, AR,690900,686177,684163,712352,710962
1893829,1935576,1926672,1930880,1991439,Saline, AR,4334705,4482556,4658737,4805951,5026456
280635,275104,266741,283220,288385,Scott, AR,298538,294839,292275,314645,324029
129680,128823,122884,120167,122483,Searcy, AR,212053,217132,212083,215438,226890
5980641,6009047,6017794,5982291,6067121,Sebastian, AR,4887760,5039352,5051533,5176682,5379631
444390,449689,445428,448651,462219,Sevier, AR,504276,497036,499968,517758,538775
321200,327148,315495,314779,309809,Sharp, AR,510423,517844,520322,533576,555926
221028,230089,212889,219896,228301,Stone, AR,352915,363083,355711,369142,387241
3048331,2763045,2652569,2723839,2806423,Union, AR,1783213,1669442,1578116,1715045,1818345
929948,942137,826520,756095,658285,Van Buren, AR,495837,503734,490222,496841,517615
8725481,9039927,9389303,9676654,9828703,Washington, AR,7728776,8260578,8620615,9144225,9537051
2448895,2425197,2350710,2296231,2272114,White, AR,2523024,2576078,2622795,2702312,2790471
185503,185095,191496,204480,210719,Woodruff, AR,218383,214132,219858,233122,243667
541750,534662,517732,537493,550276,Yell, AR,667193,659056,655695,691553,717539
106223633,114592329,119447773,125803266,130701879,Alameda, CA,95048412,104433425,111506378,118655307,127746433
189555,194700,197160,197087,214895,Alpine, CA,73564,76329,78859,76779,80711
1468280,1514323,1557733,1589308,1651760,Amador, CA,1462230,1550192,1598641,1673306,1764089
7944356,8271641,8685754,9002731,9219915,Butte, CA,8508381,9162260,9517506,9776376,10255376
1200179,1249325,1351739,1452571,1440250,Calaveras, CA,1848173,1989639,2070485,2153273,2275235
1383556,1693756,1579352,1472320,1673234,Colusa, CA,887701,1001291,973390,985665,1061748
69414104,71028489,70594339,75495547,77463188,Contra Costa, CA,71152275,77877241,82426924,88024256,94900003
841234,869352,902897,905649,939846,Del Norte, CA,886822,946905,983560,992138,1037104
6417640,6601749,7043191,7419868,7653908,El Dorado, CA,10480386,11095735,11697939,12176200,12863893
37433031,39100161,39839249,41597807,43436946,Fresno, CA,35985868,38551181,39438285,40583060,42842812
1199057,1234667,1354291,1318557,1495087,Glenn, CA,1119868,1186314,1234161,1256191,1363445
5240856,5528777,5765056,5954256,6118687,Humboldt, CA,5482820,5909114,6162079,6347487,6646624
7049259,7759415,8016694,8189014,8038068,Imperial, CA,5862006,6359751,6382481,6634190,6722874
1100688,1123225,1184726,1195289,1205264,Inyo, CA,937695,978125,1036215,1065030,1103651
47694683,48137003,49076083,50226164,49864234,Kern, CA,32589685,33346344,33459535,34196499,35603843
5848950,5487526,5377698,5481134,5648724,Kings, CA,4952959,4897183,5002133,5137941,5344067
1900416,1948505,2059415,2106437,2178663,Lake, CA,2319189,2484404,2571869,2660166,2780363
1252031,1298987,1346229,1340576,1358142,Lassen, CA,1025933,1096543,1120421,1131323,1165660
626602780,653885024,667706082,688661590,710893266,Los Angeles, CA,524856923,560086671,578154382,597597564,628808732
6107927,5982371,6418227,6658105,7099931,Madera, CA,5491469,5589548,5736206,5933946,6290616
18482010,19089876,19648493,19983906,20896027,Marin, CA,27766076,29910331,30863148,32395707,34866708
675365,689194,751702,796797,811272,Mariposa, CA,748283,795904,853146,884107,928470
3238126,3334857,3386979,3444874,3552687,Mendocino, CA,3738279,3940219,4072182,4175373,4393445
8803254,8595504,8742254,9504388,9435667,Merced, CA,9358349,9606844,9857551,10320877,10583691
406792,433203,445488,426486,441800,Modoc, CA,369174,388054,386891,382442,393406
913688,907585,949362,1046210,1009386,Mono, CA,619052,632967,660796,734299,731383
22257344,24379259,24879466,25149109,25834713,Monterey, CA,20400820,22283007,22906277,23511124,24477179
8889520,9214016,9336207,9506546,9999759,Napa, CA,8372571,9029483,9541227,9797716,10454107
3856693,3942943,4029754,4053373,4170409,Nevada, CA,5299828,5494366,5754358,5847867,6161090
200666095,208517447,212281069,223791535,230145536,Orange, CA,178946153,193081245,200026649,208949975,220684684
17248647,18891434,19854262,21027562,22021571,Placer, CA,20777206,22328853,23454584,24681918,26223081
948235,937022,1012209,1109769,1052152,Plumas, CA,867586,894037,920922,953953,1007883
68490936,72375487,74405465,77102154,79775504,Riverside, CA,80555648,86033655,90385180,94210345,99591680
75735305,78935508,79773093,82506601,85235147,Sacramento, CA,66679473,71505804,74011474,77065668,80969087
2069960,2275993,2385697,2482964,2495845,San Benito, CA,2425205,2693104,2880850,3067422,3312046
74102941,77495694,79698867,82478302,85114555,San Bernardino, CA,72097622,76881147,80228377,83217749,87550004
193675144,200564607,203882502,210693896,219361505,San Diego, CA,169747904,179970974,186440274,193199828,205236393
124645001,133969619,142435855,151359380,162541244,San Francisco, CA,85103487,93328109,100106827,107063503,115444581
25545900,26817792,26805456,28027041,29257580,San Joaquin, CA,26793393,28844935,30088302,31475861,33866043
14481207,15388320,15865142,16138584,16536404,San Luis Obispo, CA,13506150,14488777,14955432,15735750,16612046
82075979,86010720,91287140,99816105,104986153,San Mateo, CA,71042851,78539827,82356649,90249278,97264611
24497034,26252102,26107316,26861059,27855958,Santa Barbara, CA,23619059,25359394,25538436,26572680,27992849
229227568,251750330,268421986,287235403,316525538,Santa Clara, CA,149649575,165264702,178495972,193680090,209019944
12751228,13166978,13370887,13520021,13765700,Santa Cruz, CA,15326694,16349055,16802452,17854678,19021010
6809336,7010541,7289876,7635618,7655080,Shasta, CA,7096620,7544284,7752495,7985961,8386554
171438,174241,186168,191322,215033,Sierra, CA,121454,122231,126766,133924,139239
1651714,1724683,1802970,1811500,1776081,Siskiyou, CA,1676371,1801098,1865822,1911253,1970401
20739923,21145851,22142123,22841474,23303994,Solano, CA,18278207,19580307,20646738,21467887,23073555
24612974,25854007,26617535,27421167,28565621,Sonoma, CA,25721025,27832465,28969869,30280366,32246609
20335985,21248796,21075833,21993425,23160773,Stanislaus, CA,20399115,21880526,22346161,23094445,24257921
3316357,3289404,3252117,3326349,3486115,Sutter, CA,3754588,3921985,4024985,4122879,4311286
1891256,1917492,2037676,2100567,2210392,Tehama, CA,2260696,2376753,2445870,2572535,2715373
444206,451395,473471,492954,506794,Trinity, CA,434451,474812,478381,481576,509421
16983835,16739950,17147139,17773212,18415098,Tulare, CA,16912310,17106185,17571834,18069207,18830069
2139032,2226912,2425612,2556252,2430940,Tuolumne, CA,2181788,2332354,2441785,2486689,2609032
48844368,50480790,51798309,52776068,53439240,Ventura, CA,44702273,47182666,48503552,49994234,52515048
11996176,12532441,12952543,13350147,13751632,Yolo, CA,10082584,10700211,11040585,11400842,11927943
2771471,2753556,2872113,2985566,3020233,Yuba, CA,2634190,2828511,2935599,3025651,3194111
20324722,21039417,21995795,22938605,23933937,Adams, CO*,17667966,18819758,19664862,20767530,22171317
600714,662337,659375,654314,671553,Alamosa, CO,522619,566198,571068,586242,623132
38302465,39956471,41013746,42654549,44037874,Arapahoe, CO,32942587,34279987,35121849,36579457,39190019
440306,464385,481176,479089,482935,Archuleta, CO,462777,488963,513334,542712,577404
133594,118407,121877,127452,137473,Baca, CO,141430,130573,132865,146244,146870
167051,172963,181238,163672,165660,Bent, CO,148281,162871,160019,154409,162188
21597092,22669578,23423069,24607654,25319458,Boulder, CO*,18912880,20412287,20923799,22457556,23932182
7053166,7595628,7596604,8366371,8050690,Broomfield, CO*,3560058,3806913,4015243,4310231,4600020
585605,606033,634208,662174,692114,Chaffee, CO,719118,765222,809743,871318,941237
223024,217923,230128,251808,235536,Cheyenne, CO,97086,95816,92059,105350,106368
607080,639648,494493,509932,500533,Clear Creek, CO,475077,517171,526476,554932,588788
190670,215666,216947,222447,244248,Conejos, CO,244388,272265,271436,280658,302531
98935,107006,96329,104746,107662,Costilla, CO,105789,117160,118441,123895,131231
131090,168503,182013,153741,126638,Crowley, CO,103566,125490,118369,111685,112126
128004,140388,126686,125904,127789,Custer, CO,174281,187624,184143,193012,206490
821156,791826,756267,750050,785652,Delta, CO,995112,1015483,1017245,1110726,1202670
60332265,64116859,64925150,67039713,70054379,Denver, CO,45241834,45728452,44522399,52481871,57211387
220030,216453,191724,188029,156585,Dolores, CO,65452,70139,65290,68862,72456
13494310,14173343,14332960,15226588,15743268,Douglas, CO,20780532,21742449,22482320,23506657,25249718
2990311,3136360,3216484,3308719,3375460,Eagle, CO,3244544,3570057,3709922,4020667,4297802
397288,408333,423323,451766,484094,Elbert, CO,1178039,1258881,1329227,1405744,1506851
29467826,30201637,30907788,32265733,33349174,El Paso, CO,28650529,30108460,30893149,32721960,34598539
1202543,1248334,1269874,1295616,1325142,Fremont, CO,1396984,1481374,1534820,1597582,1701631
4148049,4230409,4246153,4301192,4243642,Garfield, CO,2880895,3234773,3140881,3306264,3565485
501865,505564,503282,552434,525142,Gilpin, CO,239233,253647,265122,276145,294591
632620,653776,661941,685071,714703,Grand, CO,602108,645819,669140,718928,773836
940259,923743,943497,1012690,1028922,Gunnison, CO,640481,676858,712983,756408,813135
47608,48200,47982,52284,52699,Hinsdale, CO,33947,35273,37156,39460,41116
231300,233778,246665,271378,273895,Huerfano, CO,233654,247838,263200,271539,292503
78749,89185,93650,98742,118656,Jackson, CO,56592,61180,59670,62312,69562
25177789,26075796,27600781,28434307,29445620,Jefferson, CO*,30505171,32173139,33097572,34667371,36865409
89237,84548,83008,90628,73798,Kiowa, CO,71835,70626,68415,71214,69312
343626,318197,325292,331713,391520,Kit Carson, CO,281087,273582,268935,270968,266997
294343,277307,266524,296883,309433,Lake, CO,232691,246471,252831,269814,290316
3650411,3499160,3674622,3650188,3515882,La Plata, CO,3157546,2997974,2896201,2945090,3142489
14114143,14784676,15358832,16121584,16793330,Larimer, CO,14636428,15646663,16344762,17714530,18993920
731042,718839,736109,723964,711460,Las Animas, CO,519809,516244,530131,544581,591211
352881,363542,374098,396871,391910,Lincoln, CO,148138,145611,140184,147322,161727
1137663,1217271,1235667,1090097,1061679,Logan, CO,1080272,1115264,1082465,1024827,1036820
5723592,5757436,5695220,5970021,6253144,Mesa, CO,5890543,5972451,5967780,6395255,6884366
66123,70751,68993,73103,77089,Mineral, CO,43959,48056,48305,50230,55170
1100100,1042946,1045120,1026134,987890,Moffat, CO,521778,526298,514894,521265,555617
1600478,1808550,1888742,2024058,1799102,Montezuma, CO,1008577,1040264,1029465,1054192,1124740
1253955,1301522,1314618,1359203,1413627,Montrose, CO,1386552,1446629,1491837,1573763,1685601
1449472,1527903,1494827,1559780,1592344,Morgan, CO,1132811,1178298,1176782,1213411,1304668
570149,597938,580665,579125,594219,Otero, CO,618704,659927,651444,666082,703911
197957,214088,193107,196871,200510,Ouray, CO,235271,248761,265491,269366,288235
328877,349626,364585,383734,400803,Park, CO,619076,667319,717587,775573,837121
221465,198867,217901,202394,213315,Phillips, CO,188482,179437,188772,183284,190292
1768101,1810200,1864163,1871595,1900883,Pitkin, CO,2244311,2353076,2450079,2483273,2678258
532691,562738,593064,541959,585362,Prowers, CO,463706,497681,490179,483646,514038
5450844,5633254,5793524,5936817,6084945,Pueblo, CO,5479349,5796021,5973221,6247636,6619192
852995,816272,762354,754490,736488,Rio Blanco, CO,306315,297738,276412,283154,296584
376356,435710,439984,424683,435646,Rio Grande, CO,444009,491350,493428,493047,525570
1742980,1606787,1596244,1648606,1676236,Routt, CO,1572995,1699274,1720917,1983395,2153906
148143,183987,178250,166002,170660,Saguache, CO,173038,195763,194509,191621,206468
47974,49355,41257,44580,44681,San Juan, CO,36349,40202,32134,32151,33550
539119,612657,607530,607756,630972,San Miguel, CO,568987,621753,603838,646565,699770
150058,131811,141744,124544,122461,Sedgwick, CO,126836,121488,115778,113503,112857
1817176,1954242,1997326,2100690,2144107,Summit, CO,1629737,1777923,1872263,1971898,2101140
792060,832946,821374,880866,858144,Teller, CO,1030450,1074238,1107015,1162030,1233999
252720,219055,228338,199232,240624,Washington, CO,208646,197605,194068,187917,219367
15640435,17290520,17607226,18767550,20531235,Weld, CO*,11688971,12486367,12869939,13484839,14512128
810483,817648,861732,781972,673264,Yuma, CO,537201,551433,526757,501370,504644
77948626,78667116,77878283,77609152,77951236,Fairfield, CT,96901913,98685288,101302290,106392305,113853354
72293639,75812380,75841426,76345801,75991079,Hartford, CT,51663519,53277740,53910177,55306784,57894083
7661428,7567652,7532359,7470812,7688830,Litchfield, CT,10546241,10800960,10946081,11154561,11763030
8625424,8782362,8647334,8761274,8706342,Middlesex, CT,10025460,10279885,10434552,10682952,11171794
45765321,46417757,47057608,47266161,48060270,New Haven, CT,43396753,44577449,45148233,45981789,48583905
16243373,16467459,16657031,16914681,17084801,New London, CT,13899057,14480124,14721174,15144163,15810805
4768943,4679576,4694375,4770557,4835245,Tolland, CT,7734120,7903896,8042303,8179508,8544286
