Name,Control,State,Plan,2018 Fall Enrollment,Known_Cases_in_County_per_100k_Residents,lat,lng
Apex School of Theology,Private,NC,Other,554.0,1916,35.9225125,-78.8413111
Appalachian Bible College,Private,WV,Fully in person,263.0,248,37.8532855,-81.2011728
Appalachian State U.,Public,NC,Primarily online,19108.0,473,36.2135255,-81.6839919
Aquinas College (Mich.),Private,MI,Primarily online,1758.0,1119,42.96032779999999,-85.6285917
Arapahoe Community College,Public,CO,Hybrid,11544.0,1100,39.6080683,-105.0188452
Arcadia U.,Private,PA,Primarily online,3662.0,1198,40.0920362,-75.16594309999999
Arizona Christian U.,Private,AZ,Hybrid,776.0,2828,33.6209932,-112.1807676
Arizona State U.,Public,AZ,Hybrid,51585.0,2828,33.4242399,-111.9280527
Arizona State U.-Downtown Phoenix,Public,AZ,Hybrid,11584.0,2828,33.4534066,-112.0732287
Arizona State U.-Polytechnic,Public,AZ,Hybrid,5095.0,2828,33.3060092,-111.6785238
Arizona State U.-Skysong,Public,AZ,Hybrid,38540.0,2828,33.46412000000001,-111.9231439
Arizona State U.-West,Public,AZ,Primarily online,4445.0,2828,33.6075305,-112.1594168
Arizona Western College,Public,AZ,Primarily online,7434.0,5361,32.6886907,-114.4950487
Arkansas Baptist College,Private,AR,TBD,525.0,1230,34.7349202,-92.2905167
Arkansas Northeastern College,Public,AR,Hybrid,1422.0,1809,35.8986758,-89.91882799999999
Arkansas State U. at Beebe,Public,AR,Hybrid,3446.0,333,35.0729706,-91.8962336
Arkansas State U. at Jonesboro,Public,AR,Primarily online,13709.0,1060,35.8430861,-90.67485889999999
Arkansas State U. at Mountain Home,Public,AR,Primarily online,1345.0,148,36.3204181,-92.3885758
Arkansas State U. Mid-South,Public,AR,Primarily online,1423.0,2475,35.1454262,-90.22286059999999
Arkansas State U.-Newport,Public,AR,TBD,2270.0,337,35.6401448,-91.1903328
Arkansas Tech U.,Public,AR,TBD,12101.0,1889,35.29378880000001,-93.1361472
Arlington Baptist U.,Private,TX,TBD,170.0,1407,32.7366135,-97.1570876
Art Academy of Cincinnati,Private,OH,Primarily in person,201.0,1122,39.1088559,-84.5138767
Art Center College of Design,Private,CA,TBD,2249.0,1903,34.1688713,-118.1851569
Asbury U.,Private,KY,Primarily online,1940.0,553,37.8631989,-84.6618348
Asheville-Buncombe Technical Community College,Public,NC,Primarily online,6892.0,664,35.5706642,-82.5555519
Ashland Community and Technical College,Public,KY,Primarily in person,2542.0,356,38.4691674,-82.6505189
Ashland U.,Private,OH,Hybrid,6627.0,243,40.8620193,-82.3225811
Asnuntuck Community College,Public,CT,Primarily in person,1858.0,1413,41.9981551,-72.5706359
Associated Beth Rivkah Schools,Private,NY,Other,195.0,2406,40.6659617,-73.9498508
Assumption College,Private,MA,Primarily online,2428.0,1631,42.2927383,-71.8289664
Athens Technical College,Public,GA,Primarily in person,4567.0,1378,33.9914893,-83.33919519999999
Atlanta Metropolitan State College,Public,GA,Fully in person,2187.0,1769,33.7096749,-84.40456809999999
Atlanta Technical College,Public,GA,TBD,3562.0,1769,33.7120288,-84.4042954
Atlantic Cape Community College,Public,NJ,TBD,4973.0,1264,39.4614681,-74.6811865
Auburn U.,Public,AL,Hybrid,30440.0,1655,32.5933574,-85.4951663
Auburn U. at Montgomery,Public,AL,Hybrid,5211.0,2773,32.3697457,-86.1766584
Augsburg U.,Private,MN,Primarily online,3419.0,1440,44.9665149,-93.24016480000002
Augusta Technical College,Public,GA,Primarily online,4409.0,1846,33.417748,-82.05101859999999
Augusta U.,Public,GA,Hybrid,8458.0,1846,33.4755276,-82.02332830000002
Augustana College (Ill.),Private,IL,Primarily in person,2543.0,1090,41.5032718,-90.551492
Augustana U. (S.D.),Private,SD,Primarily in person,2133.0,2261,43.5224294,-96.73936359999999
Aultman College of Nursing and Health Sciences,Private,OH,Primarily online,343.0,450,40.7947585,-81.4042147
Aurora U.,Private,IL,Primarily in person,6005.0,1733,41.7544173,-88.3494778
Austin College,Private,TX,Primarily in person,1299.0,782,33.6474801,-96.5979639
Austin Community College,Public,TX,Primarily online,40799.0,1724,30.2773795,-97.7485031
Austin Peay State U.,Public,TN,Hybrid,10954.0,871,36.53498,-87.3548855
Ave Maria U.,Private,FL,Fully in person,1122.0,2675,26.336516,-81.4393837
Averett U.,Private,VA,Primarily in person,961.0,795,36.5782571,-79.41377589999999
Averett U. Nontraditional Programs,Private,VA,Fully online,612.0,795,36.5782571,-79.41377589999999
Avila U.,Private,MO,TBD,1649.0,1355,38.9123643,-94.59146989999999
Azusa Pacific U.,Private,CA,Primarily online,10095.0,1903,34.1300755,-117.8883593
Babson College,Private,MA,Hybrid,3357.0,1481,42.2964421,-71.2657077
Bacone College,Private,OK,TBD,271.0,634,35.771595,-95.32991020000001
Bais Binyomin Academy,Private,NY,Other,34.0,4289,41.1231106,-74.07896819999999
Bais HaMedrash and Mesivta of Baltimore,Private,MD,Other,80.0,1471,39.3795046,-76.674343
Bais Medrash Elyon,Private,NY,Other,69.0,4289,41.114032,-74.069525
Bais Medrash Mayan Hatorah,Private,NJ,Other,69.0,1767,40.107391,-74.2044457
Bais Medrash Toras Chesed,Private,NJ,Other,106.0,1767,40.0997674,-74.21128329999999
Baker College of Flint,Private,MI,Primarily online,9332.0,854,42.9752818,-83.6964771
Baker U.,Private,KS,Primarily in person,2769.0,556,38.7774862,-95.1888342
Bakersfield College,Public,CA,TBD,24589.0,2327,35.4079139,-118.9718054
Baldwin Wallace U.,Private,OH,Primarily in person,3709.0,1009,41.37111650000001,-81.8478088
Ball State U.,Public,IN,Primarily in person,21884.0,548,40.2049604,-85.40628459999999
Baltimore City Community College,Public,MD,TBD,4523.0,1883,39.3199579,-76.66274039999999
Baptist Bible College,Private,MO,Primarily in person,256.0,423,37.2400483,-93.28424470000002
Baptist College of Florida,Private,FL,Hybrid,467.0,3328,30.9635127,-85.5050938
Baptist College of Health Sciences,Private,TN,Primarily online,1064.0,2273,35.1390155,-90.0282849
Baptist Health College at Little Rock (Ark.),Private,AR,Other,648.0,1230,34.713277,-92.407132
Baptist Missionary Association Theological Seminary,Private,TX,Other,141.0,1509,31.9789669,-95.2555359
Baptist U. of the Americas,Private,TX,TBD,154.0,2136,29.3499729,-98.54610799999999
Barclay College,Private,KS,Fully in person,243.0,238,37.620996,-99.10488699999999
Bard College,Private,NY,Primarily online,2207.0,1538,42.0203897,-73.91005439999999
Bard College at Simon's Rock,Private,MA,Primarily in person,396.0,516,42.207976,-73.378238
Barnard College,Private,NY,Primarily online,2562.0,1872,40.8090051,-73.9637853
Barry U.,Private,FL,Other,7186.0,4518,30.4045004,-89.2461551
Barstow Community College,Public,CA,Fully online,3052.0,1544,34.87031810000001,-117.0233643
Barton College,Private,NC,Primarily in person,1059.0,1720,35.734288,-77.913777
Barton County Community College,Public,KS,Primarily in person,4237.0,343,38.4037674,-98.7331466
Bates College,Private,ME,Primarily in person,1832.0,510,44.1057216,-70.2021865
Bates Technical College,Public,WA,TBD,4445.0,596,47.2522734,-122.4467537
Baton Rouge Community College,Public,LA,Primarily online,8242.0,2515,30.447906,-91.134585
Bay De Noc Community College,Public,MI,Hybrid,1935.0,221,45.7721712,-87.085535
Bay Mills Community College,Public,MI,TBD,477.0,85,46.4547539,-84.60649110000001
Bay Path U.,Private,MA,TBD,3444.0,1592,42.0557328,-72.583648
Baylor U.,Private,TX,Primarily online,17217.0,1741,31.5469132,-97.1210998
Be'er Yaakov Talmudic Seminary,Private,NY,Other,569.0,4289,41.146773,-74.0311129
Beacon College,Private,FL,Primarily in person,400.0,1390,28.810788,-81.874798
Beaufort County Community College,Public,NC,Primarily in person,1543.0,737,35.5337105,-76.96526779999999
Becker College at Worcester (Mass.),Private,MA,Primarily in person,1839.0,1631,42.2670243,-71.81191799999999
Beis Medrash Heichal Dovid,Private,NY,Other,125.0,2963,40.6142064,-73.7351955
Belanger School of Nursing,Private,NY,TBD,105.0,668,42.8029696,-73.91586749999999
Belhaven U.,Private,MS,Primarily online,4205.0,2155,32.320011,-90.1690869
Bellarmine U.,Private,KY,Hybrid,3369.0,930,38.2184939,-85.7055271
Bellevue College,Public,WA,TBD,13226.0,717,47.58430380000001,-122.1494195
Bellevue U.,Private,NE,TBD,9621.0,1126,41.150572,-95.91815799999999
Bellin College,Private,WI,TBD,477.0,1543,44.468336,-87.92175859999999
Bellingham Technical College,Public,WA,TBD,2316.0,425,48.7657118,-122.5115454
Belmont Abbey College,Private,NC,Primarily in person,1556.0,1391,35.2621669,-81.0431492
Belmont College,Public,OH,Hybrid,982.0,860,40.076953,-80.96490100000001
Belmont U.,Private,TN,Primarily online,8260.0,2825,36.1329081,-86.7941702
Beloit College,Private,WI,Hybrid,1275.0,844,42.5030333,-89.0309048
Bemidji State U.,Public,MN,Primarily online,5111.0,414,47.48636579999999,-94.8757892
Benedict College,Private,SC,Hybrid,2165.0,1917,34.012867,-81.020461
Benedictine College,Private,KS,Primarily in person,2124.0,361,39.5731522,-95.1113744
Benedictine U.,Private,IL,Primarily in person,4940.0,1231,41.7784418,-88.0952683
Benjamin Franklin Institute of Technology,Private,MA,Hybrid,630.0,2697,42.346037,-71.070193
Bennett College,Private,NC,TBD,534.0,995,36.067872,-79.77921599999999
Bennington College,Private,VT,Hybrid,811.0,234,42.9203078,-73.2359361
